ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
28	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56098973	56099387	56098973	56099075	56099176	56099387
29	"ENSMUSG00000020372.15"	"Gnb2l1"	chr11	+	48801662	48802420	48801662	48801834	48802272	48802420
30	"ENSMUSG00000049648.4"	"Olfr273"	chr4	-	52852153	52856589	52852153	52854971	52855418	52856589
31	"ENSMUSG00000090112.8"	"Shprh"	chr10	+	11207096	11209552	11207096	11207275	11207821	11209552
32	"ENSMUSG00000053553.11"	"3110082I17Rik"	chr5	-	139359738	139361388	139359738	139360730	139361306	139361388
33	"ENSMUSG00000074272.10"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437
34	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8743079	8743423	8743079	8743135	8743352	8743423
35	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8748654	8748888	8748654	8748711	8748806	8748888
36	"ENSMUSG00000018433.14"	"Nol11"	chr11	-	107180041	107181101	107180041	107180118	107180912	107181101
37	"ENSMUSG00000004031.13"	"Brinp2"	chr1	-	158266461	158268020	158266461	158266670	158267829	158268020
38	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594152	76594447
39	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594152	76594447	76594152	76594284	76594363	76594447
40	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594528	76594752	76594528	76594610	76594673	76594752
41	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76595013	76595453	76595013	76595266	76595336	76595453
42	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678161	111678602	111678962
43	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678300	111678602	111678962
44	"ENSMUSG00000062175.13"	"Tgif2"	chr2	+	156853128	156855570	156853128	156853228	156853345	156855570
45	"ENSMUSG00000040165.14"	"Cd209c"	chr8	-	3945676	3946053	3945676	3945763	3945871	3946053
46	"ENSMUSG00000056724.14"	"Nbeal2"	chr9	-	110628393	110628749	110628393	110628503	110628618	110628749
47	"ENSMUSG00000066150.12"	"Slc31a1"	chr4	+	62387866	62391769	62387866	62388035	62388597	62391769
48	"ENSMUSG00000004947.15"	"Dtx2"	chr5	+	136026469	136028572	136026469	136026607	136028498	136028572
49	"ENSMUSG00000004947.15"	"Dtx2"	chr5	+	136026469	136028572	136026469	136026607	136028501	136028572
50	"ENSMUSG00000029670.12"	"Ing3"	chr6	+	21969277	21970107	21969277	21969435	21969913	21970107
51	"ENSMUSG00000035772.11"	"Mrps2"	chr2	+	28468242	28468950	28468242	28468359	28468820	28468950
52	"ENSMUSG00000024908.15"	"Ppp6r3"	chr19	-	3483527	3487091	3483527	3484916	3486975	3487091
53	"ENSMUSG00000005980.15"	"Dnase1"	chr16	+	4037549	4038042	4037549	4037697	4037953	4038042
54	"ENSMUSG00000005980.15"	"Dnase1"	chr16	+	4037953	4038270	4037953	4038042	4038186	4038270
55	"ENSMUSG00000029074.14"	"Ttll10"	chr4	-	156048291	156048704	156048291	156048495	156048582	156048704
56	"ENSMUSG00000032359.14"	"Ctsh"	chr9	+	90067026	90068473	90067026	90067108	90068404	90068473
57	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724710	20724820
58	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724747	20724820
59	"ENSMUSG00000034024.8"	"Cct2"	chr10	-	117061297	117061581	117061297	117061410	117061504	117061581
60	"ENSMUSG00000034024.8"	"Cct2"	chr10	-	117062975	117063375	117062975	117063050	117063159	117063375
61	"ENSMUSG00000050994.20"	"Adgb"	chr10	-	10431070	10431399	10431070	10431200	10431281	10431399
62	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155655521	155656305	155655521	155655700	155656071	155656305
63	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155656912	155657314	155656912	155657069	155657165	155657314
64	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155658893	155659265	155658893	155659001	155659122	155659265
65	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4865136	4866268	4865136	4865313	4866158	4866268
66	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4865136	4866529	4865136	4865313	4866448	4866529
67	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4865136	4866529	4865136	4866268	4866448	4866529
68	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4869534	4870623	4869534	4869658	4870498	4870623
69	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4869534	4870623	4869534	4869672	4870498	4870623
70	"ENSMUSG00000041674.16"	"RP23-349B9.1"	chr11	-	112691291	112691714	112691291	112691435	112691502	112691714
71	"ENSMUSG00000052133.16"	"Sema5b"	chr16	+	35659922	35660383	35659922	35660070	35660157	35660383
72	"ENSMUSG00000041231.15"	"Ublcp1"	chr11	-	44454572	44455615	44454572	44454826	44455581	44455615
73	"ENSMUSG00000068860.5"	"AC140190.2"	chr3	-	95239949	95241598	95239949	95240111	95240594	95241598
74	"ENSMUSG00000073433.10"	"Arhgdig"	chr17	-	26199751	26200370	26199751	26199828	26200190	26200370
75	"ENSMUSG00000032177.17"	"Pde4a"	chr9	+	21191326	21192431	21191326	21191518	21192394	21192431
76	"ENSMUSG00000034485.10"	"Uaca"	chr9	+	60869574	60872283	60869574	60870030	60870540	60872283
77	"ENSMUSG00000027316.15"	"Gfra4"	chr2	-	131041231	131041758	131041231	131041341	131041394	131041758
78	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103175618	103177419
79	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103177338	103177419
80	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103175618	103177419	103175618	103175669	103177338	103177419
81	"ENSMUSG00000042918.17"	"Mamstr"	chr7	+	45642747	45643324	45642747	45642929	45643236	45643324
82	"ENSMUSG00000031482.9"	"Slc25a15"	chr8	-	22380837	22383344	22380837	22381007	22383206	22383344
83	"ENSMUSG00000079109.11"	"Pms2"	chr5	+	143928098	143929042	143928098	143928266	143928941	143929042
84	"ENSMUSG00000004626.14"	"Stxbp2"	chr8	+	3633847	3634123	3633847	3633926	3634019	3634123
85	"ENSMUSG00000035031.15"	"C8a"	chr4	-	104815678	104817660	104815678	104815909	104817552	104817660
86	"ENSMUSG00000098488.7"	"Pla2g4b"	chr2	+	120034919	120035324	120034919	120035056	120035195	120035324
87	"ENSMUSG00000098488.7"	"Pla2g4b"	chr2	+	120036746	120037095	120036746	120036830	120037057	120037095
88	"ENSMUSG00000025652.6"	"Tmem89"	chr9	+	108914618	108915563	108914618	108914957	108915364	108915563
89	"ENSMUSG00000045679.14"	"Pqlc3"	chr12	-	16992277	16993573	16992277	16992319	16993452	16993573
90	"ENSMUSG00000045679.14"	"Pqlc3"	chr12	-	16997633	16997856	16997633	16997656	16997773	16997856
91	"ENSMUSG00000045679.14"	"Pqlc3"	chr12	-	16997633	16997856	16997633	16997703	16997773	16997856
92	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89084902	89085446	89084902	89085042	89085273	89085446
93	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89085525	89087071	89085525	89085637	89085755	89087071
94	"ENSMUSG00000031812.16"	"Map1lc3b"	chr8	+	121593489	121596092	121593489	121593545	121595985	121596092
95	"ENSMUSG00000031812.16"	"Map1lc3b"	chr8	+	121593489	121596092	121593489	121593650	121595985	121596092
96	"ENSMUSG00000030493.13"	"Faap24"	chr7	-	35394974	35395376	35394974	35395127	35395236	35395376
97	"ENSMUSG00000031340.8"	"Gabre"	chrX	-	72264518	72264739	72264518	72264608	72264704	72264739
98	"ENSMUSG00000093674.7"	"Rpl41"	chr10	-	128548657	128548971	128548657	128548680	128548948	128548971
99	"ENSMUSG00000026358.13"	"Rgs1"	chr1	-	144244672	144246353	144244672	144245487	144246189	144246353
100	"ENSMUSG00000026358.13"	"Rgs1"	chr1	-	144247905	144248559	144247905	144247967	144248478	144248559
101	"ENSMUSG00000044106.5"	"Olfr868"	chr9	+	20100756	20104754	20100756	20101134	20102337	20104754
102	"ENSMUSG00000029298.15"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853
103	"ENSMUSG00000004931.11"	"Apba3"	chr10	+	81271364	81271832	81271364	81271526	81271661	81271832
104	"ENSMUSG00000025774.14"	"Crisp4"	chr1	-	18128641	18130249	18128641	18128790	18130158	18130249
105	"ENSMUSG00000029386.15"	"Tctn2"	chr5	+	124598748	124599242	124598748	124598956	124599134	124599242
106	"ENSMUSG00000029386.15"	"Tctn2"	chr5	+	124624317	124624472	124624317	124624334	124624335	124624472
107	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8724402	8724721	8724402	8724483	8724671	8724721
108	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725013	8725256	8725013	8725046	8725221	8725256
109	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725781	8726102	8725781	8725826	8726066	8726102
110	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725781	8726102	8725781	8725924	8726066	8726102
111	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8726066	8726443	8726066	8726102	8726238	8726443
112	"ENSMUSG00000025792.9"	"Slc25a10"	chr11	+	120497013	120497461	120497013	120497106	120497383	120497461
113	"ENSMUSG00000092607.9"	"Scnm1"	chr3	-	95133199	95133628	95133199	95133288	95133557	95133628
114	"ENSMUSG00000021850.14"	"RP24-142A23.1"	chr14	-	49245040	49245397	49245040	49245261	49245357	49245397
115	"ENSMUSG00000066979.6"	"Bub3"	chr7	+	131561536	131563485	131561536	131561606	131563333	131563485
116	"ENSMUSG00000014786.8"	"Slc9a5"	chr8	+	105356530	105357173	105356530	105356751	105356970	105357173
117	"ENSMUSG00000062181.14"	"Ces3b"	chr8	+	105085256	105085689	105085256	105085395	105085555	105085689
118	"ENSMUSG00000025499.18"	"Hras"	chr7	-	141190929	141191467	141190929	141191227	141191341	141191467
119	"ENSMUSG00000025499.18"	"Hras"	chr7	-	141191341	141192290	141191341	141191467	141192130	141192290
120	"ENSMUSG00000020964.14"	"Sel1l"	chr12	-	91813831	91814693	91813831	91814004	91814618	91814693
121	"ENSMUSG00000031532.6"	"Saraf"	chr8	+	34167718	34168611	34167718	34167857	34168456	34168611
122	"ENSMUSG00000070493.3"	"Chchd2"	chr5	-	129882428	129884183	129882428	129882579	129883933	129884183
123	"ENSMUSG00000026080.13"	"Chst10"	chr1	-	38863866	38868086	38863866	38866035	38867980	38868086
124	"ENSMUSG00000026554.15"	"Dcaf8"	chr1	+	172186295	172187460	172186295	172186368	172187352	172187460
125	"ENSMUSG00000024446.13"	"Rpp21"	chr17	-	36257441	36257706	36257441	36257524	36257605	36257706
126	"ENSMUSG00000058427.10"	"Cxcl2"	chr5	+	90904356	90905938	90904356	90904440	90905188	90905938
127	"ENSMUSG00000042210.17"	"Abhd14a"	chr9	-	106445525	106445829	106445525	106445651	106445770	106445829
128	"ENSMUSG00000042210.17"	"Abhd14a"	chr9	-	106445525	106445829	106445525	106445656	106445770	106445829
129	"ENSMUSG00000040549.16"	"Ckap5"	chr2	+	91559048	91560911	91559048	91559162	91560806	91560911
130	"ENSMUSG00000072591.10"	"AC122789.1"	chr5	-	128585271	128585406	128585271	128585350	128585354	128585406
131	"ENSMUSG00000038126.17"	"Mphosph9"	chr5	-	124315188	124315896	124315188	124315286	124315372	124315896
132	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116839837	116839926	116840409	116840545
133	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116839837	116839931	116840409	116840545
134	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116839837	116839926	116840447	116840545
135	"ENSMUSG00000025915.14"	"Sgk3"	chr1	+	9885666	9886142	9885666	9885753	9885988	9886142
136	"ENSMUSG00000025915.14"	"Sgk3"	chr1	+	9885666	9886142	9885666	9885753	9886046	9886142
137	"ENSMUSG00000036438.12"	"Calm2"	chr17	-	87435603	87435934	87435603	87435710	87435790	87435934
138	"ENSMUSG00000040021.13"	"Lats1"	chr10	+	7712500	7713586	7712500	7713280	7713311	7713586
139	"ENSMUSG00000026289.15"	"Atg16l1"	chr1	+	87785875	87786346	87785875	87785996	87786240	87786346
140	"ENSMUSG00000026457.14"	"Adipor1"	chr1	+	134423957	134424922	134423957	134424074	134424750	134424922
141	"ENSMUSG00000086788.2"	"RP23-321M9.3"	chr4	+	135627755	135628485	135627755	135627864	135627865	135628485
142	"ENSMUSG00000035234.18"	"Fam175a"	chr5	-	100805191	100806489	100805191	100805451	100805897	100806489
143	"ENSMUSG00000054199.17"	"Gon4l"	chr3	+	88898104	88899074	88898104	88898360	88898889	88899074
144	"ENSMUSG00000013338.16"	"Fer1l4"	chr2	-	156019530	156019985	156019530	156019631	156019704	156019985
145	"ENSMUSG00000013338.16"	"Fer1l4"	chr2	-	156019530	156020583	156019530	156019985	156020341	156020583
146	"ENSMUSG00000036553.16"	"Sh3tc1"	chr5	-	35699710	35700407	35699710	35699795	35700256	35700407
147	"ENSMUSG00000036553.16"	"Sh3tc1"	chr5	-	35699710	35700407	35699710	35699907	35700256	35700407
148	"ENSMUSG00000006589.8"	"Aprt"	chr8	-	122576118	122576621	122576118	122576231	122576514	122576621
149	"ENSMUSG00000006589.8"	"Aprt"	chr8	-	122576118	122576621	122576118	122576252	122576514	122576621
150	"ENSMUSG00000004110.16"	"Cacna1e"	chr1	-	154486497	154488133	154486497	154486707	154488043	154488133
151	"ENSMUSG00000064289.15"	"Tank"	chr2	+	61643714	61644422	61643714	61643785	61644306	61644422
152	"ENSMUSG00000033475.15"	"Tomm6"	chr17	-	47686739	47687288	47686739	47687062	47687187	47687288
153	"ENSMUSG00000006471.18"	"Ndor1"	chr2	-	25249793	25250197	25249793	25250003	25250095	25250197
154	"ENSMUSG00000070034.13"	"Sp110"	chr1	-	85579056	85579745	85579056	85579199	85579643	85579745
155	"ENSMUSG00000070034.13"	"Sp110"	chr1	-	85584902	85586295	85584902	85585052	85586214	85586295
156	"ENSMUSG00000060311.11"	"Mucl1"	chr15	-	103753368	103753802	103753368	103753396	103753398	103753802
157	"ENSMUSG00000037563.15"	"Rps16"	chr7	+	28352176	28352410	28352176	28352273	28352362	28352410
158	"ENSMUSG00000036002.12"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206
159	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125024552	125024032	125024270	125024413	125024552
160	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125024552	125024032	125024270	125024504	125024552
161	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125025082	125024032	125024270	125024745	125025082
162	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125025082	125024032	125024552	125024745	125025082
163	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125025082	125024032	125024270	125024862	125025082
164	"ENSMUSG00000042105.18"	"Inpp5f"	chr7	+	128688488	128689246	128688488	128688746	128689227	128689246
165	"ENSMUSG00000034799.16"	"Unc13a"	chr8	-	71662480	71662928	71662480	71662535	71662839	71662928
166	"ENSMUSG00000034799.16"	"Unc13a"	chr8	-	71662480	71662928	71662480	71662535	71662854	71662928
167	"ENSMUSG00000019312.10"	"Grb7"	chr11	+	98451594	98451919	98451594	98451716	98451841	98451919
168	"ENSMUSG00000019312.10"	"Grb7"	chr11	+	98453180	98453593	98453180	98453291	98453494	98453593
169	"ENSMUSG00000069295.2"	"Vmn1r196"	chr13	+	22292074	22298360	22292074	22292247	22292982	22298360
170	"ENSMUSG00000069295.2"	"Vmn1r196"	chr13	+	22292074	22298360	22292074	22292247	22293460	22298360
171	"ENSMUSG00000069295.2"	"Vmn1r196"	chr13	+	22292074	22298360	22292074	22292247	22293650	22298360
172	"ENSMUSG00000030058.17"	"Copg1"	chr6	+	87892632	87893953	87892632	87892719	87893795	87893953
173	"ENSMUSG00000030058.17"	"Copg1"	chr6	+	87908535	87909802	87908535	87908633	87909663	87909802
174	"ENSMUSG00000042487.6"	"Leo1"	chr9	+	75447101	75448396	75447101	75447206	75448301	75448396
175	"ENSMUSG00000042487.6"	"Leo1"	chr9	+	75455640	75457193	75455640	75455775	75457057	75457193
176	"ENSMUSG00000021223.13"	"Papln"	chr12	+	83775342	83776561	83775342	83775469	83776353	83776561
177	"ENSMUSG00000063511.11"	"Snrnp70"	chr7	-	45380716	45383184	45380716	45380818	45381824	45383184
178	"ENSMUSG00000063511.11"	"Snrnp70"	chr7	-	45380716	45383184	45380716	45380818	45383124	45383184
179	"ENSMUSG00000005677.14"	"Nr1i3"	chr1	+	171217075	171217430	171217075	171217221	171217313	171217430
180	"ENSMUSG00000005677.14"	"Nr1i3"	chr1	+	171217075	171217430	171217075	171217221	171217316	171217430
181	"ENSMUSG00000005677.14"	"Nr1i3"	chr1	+	171217313	171217731	171217313	171217430	171217625	171217731
182	"ENSMUSG00000023452.18"	"Pisd"	chr5	-	32738781	32739373	32738781	32738920	32739136	32739373
183	"ENSMUSG00000023452.18"	"Pisd"	chr5	-	32738781	32739373	32738781	32738920	32739183	32739373
184	"ENSMUSG00000007564.14"	"Ppp2r1a"	chr17	+	20958939	20959523	20958939	20959010	20959388	20959523
185	"ENSMUSG00000073976.10"	"RP23-383N18.1"	chr16	-	49216833	49216923	49216833	49216911	49216912	49216923
186	"ENSMUSG00000028539.14"	"Artn"	chr4	-	117927623	117928142	117927623	117927761	117928019	117928142
187	"ENSMUSG00000030231.11"	"Plekha5"	chr6	+	140593554	140597110	140593554	140593657	140596248	140597110
188	"ENSMUSG00000113093.1"	"RP24-358K11.2"	chr12	+	17563525	17564113	17563525	17563684	17563958	17564113
189	"ENSMUSG00000019951.10"	"Uhrf1bp1l"	chr10	+	89808517	89809778	89808517	89808660	89809627	89809778
190	"ENSMUSG00000038412.8"	"Higd1a"	chr9	-	121848562	121850322	121848562	121849689	121850187	121850322
191	"ENSMUSG00000067369.12"	"Trmt2b"	chrX	-	134238142	134238586	134238142	134238242	134238466	134238586
192	"ENSMUSG00000067369.12"	"Trmt2b"	chrX	-	134240078	134240569	134240078	134240180	134240354	134240569
193	"ENSMUSG00000042594.16"	"Sh2b3"	chr5	-	121818464	121818854	121818464	121818649	121818759	121818854
194	"ENSMUSG00000042594.16"	"Sh2b3"	chr5	-	121818464	121818854	121818464	121818679	121818759	121818854
195	"ENSMUSG00000032894.13"	"RP23-76A20.6"	chrX	-	102859185	102859757	102859185	102859250	102859664	102859757
196	"ENSMUSG00000033669.8"	"Zfp7"	chr15	+	76888230	76892395	76888230	76888347	76890006	76892395
197	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84368142	84368709	84368142	84368201	84368585	84368709
198	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371031	84370255	84370354	84370923	84371031
199	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371031	84370255	84370386	84370923	84371031
200	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371558	84370255	84371031	84371450	84371558
201	"ENSMUSG00000029363.14"	"Rfc5"	chr5	-	117381835	117382465	117381835	117381913	117382335	117382465
202	"ENSMUSG00000034813.17"	"Grip1"	chr10	+	119985473	119986484	119985473	119985629	119986331	119986484
203	"ENSMUSG00000002949.15"	"Timm44"	chr8	-	4265225	4266680	4265225	4265276	4266555	4266680
204	"ENSMUSG00000029661.16"	"Col1a2"	chr6	+	4508939	4509639	4508939	4508954	4509603	4509639
205	"ENSMUSG00000029661.16"	"Col1a2"	chr6	+	4534580	4535488	4534580	4534688	4535380	4535488
206	"ENSMUSG00000047767.17"	"Atg16l2"	chr7	-	101291486	101291999	101291486	101291592	101291714	101291999
207	"ENSMUSG00000047767.17"	"Atg16l2"	chr7	-	101291486	101291999	101291486	101291592	101291878	101291999
208	"ENSMUSG00000047767.17"	"Atg16l2"	chr7	-	101292107	101292424	101292107	101292179	101292353	101292424
209	"ENSMUSG00000047767.17"	"Atg16l2"	chr7	-	101296507	101297008	101296507	101296573	101296756	101297008
210	"ENSMUSG00000090307.7"	"RP23-96A14.2"	chr17	-	43589772	43591509	43589772	43589877	43591421	43591509
211	"ENSMUSG00000036819.14"	"Jmjd4"	chr11	+	59450674	59453645	59450674	59450840	59453510	59453645
212	"ENSMUSG00000037470.14"	"Uggt1"	chr1	-	36162204	36163410	36162204	36162363	36163220	36163410
213	"ENSMUSG00000003271.17"	"Sult2b1"	chr7	-	45742053	45742483	45742053	45742196	45742310	45742483
214	"ENSMUSG00000040029.14"	"Ipo8"	chr6	-	148770682	148775093	148770682	148772809	148774976	148775093
215	"ENSMUSG00000090077.9"	"Lime1"	chr2	+	181382486	181382703	181382486	181382544	181382615	181382703
216	"ENSMUSG00000052488.7"	"Cherp"	chr8	-	72469863	72470227	72469863	72470015	72470089	72470227
217	"ENSMUSG00000035585.16"	"Tsen34"	chr7	+	3694597	3695227	3694597	3694844	3694977	3695227
218	"ENSMUSG00000025137.15"	"Pcyt2"	chr11	-	120612000	120612601	120612000	120612083	120612462	120612601
219	"ENSMUSG00000020377.15"	"Ltc4s"	chr11	-	50237193	50237440	50237193	50237264	50237340	50237440
220	"ENSMUSG00000097425.3"	"Vmn1r181"	chr7	+	23982481	23982863	23982481	23982555	23982745	23982863
221	"ENSMUSG00000021977.11"	"RP24-308E2.1"	chr14	-	59142457	59142893	59142457	59142568	59142870	59142893
222	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023606	70023697
223	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023610	70023697
224	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70022619	70023697	70022619	70022669	70023613	70023697
225	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70028618	70029235	70028618	70028774	70029207	70029235
226	"ENSMUSG00000001305.5"	"Rrp15"	chr1	-	186737587	186739863	186737587	186737685	186739603	186739863
227	"ENSMUSG00000024073.14"	"Birc6"	chr17	+	74561150	74562101	74561150	74561262	74562018	74562101
228	"ENSMUSG00000024073.14"	"Birc6"	chr17	+	74618435	74619838	74618435	74618563	74619706	74619838
229	"ENSMUSG00000022283.15"	"Pabpc1"	chr15	-	36597972	36598312	36597972	36598127	36598201	36598312
230	"ENSMUSG00000000202.9"	"Btbd17"	chr11	-	114791216	114794126	114791216	114792522	114793849	114794126
231	"ENSMUSG00000018999.14"	"Slc35b4"	chr6	-	34163588	34166423	34163588	34163670	34166373	34166423
232	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38679319	38681165	38679319	38679411	38681066	38681165
233	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38689124	38690659	38689124	38689222	38690532	38690659
234	"ENSMUSG00000038429.10"	"Usp5"	chr6	-	124816983	124817471	124816983	124817068	124817317	124817471
235	"ENSMUSG00000096840.3"	"Olfr136"	chr17	+	38334366	38336643	38334366	38334429	38335140	38336643
236	"ENSMUSG00000079110.11"	"Capn3"	chr2	+	120495235	120496073	120495235	120495247	120495864	120496073
237	"ENSMUSG00000079110.11"	"Capn3"	chr2	+	120502386	120502593	120502386	120502444	120502528	120502593
238	"ENSMUSG00000041423.16"	"Paqr6"	chr3	+	88365027	88365802	88365027	88365103	88365674	88365802
239	"ENSMUSG00000004071.13"	"Cdip1"	chr16	-	4768744	4769795	4768744	4768967	4769639	4769795
240	"ENSMUSG00000004071.13"	"Cdip1"	chr16	-	4768744	4769795	4768744	4769018	4769639	4769795
241	"ENSMUSG00000021639.16"	"Gtf2h2"	chr13	-	100486070	100486524	100486070	100486125	100486473	100486524
242	"ENSMUSG00000045340.4"	"Vmn1r70"	chr7	+	10631531	10636530	10631531	10631692	10631823	10636530
243	"ENSMUSG00000045340.4"	"Vmn1r70"	chr7	+	10631823	10636530	10631823	10631948	10633631	10636530
244	"ENSMUSG00000115027.1"	"Vmn1r81"	chr7	-	12247240	12260681	12247240	12259365	12259872	12260681
245	"ENSMUSG00000115027.1"	"Vmn1r81"	chr7	-	12267708	12268269	12267708	12267966	12268205	12268269
