ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
175	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59289217	59289252	59160849	59161128	59305065	59305197
176	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59266387	59266500	59161019	59161128	59305065	59305134
179	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74283931	74284017	74288018	74288099	74283647	74283693	74288177	74288219
195	"ENSMUSG00000027715.9"	"Ccna2"	chr3	-	36566540	36566674	36566999	36567113	36564864	36566282	36567723	36567931
198	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116501191	116501317	116517316	116517383	116499341	116499466	116527826	116527949
199	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116507040	116507188	116517316	116517383	116504034	116504114	116527826	116527949
200	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116507040	116507188	116517316	116517383	116504034	116504114	116549032	116549175
201	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116517316	116517383	116527826	116527949	116501191	116501317	116549032	116549175
205	"ENSMUSG00000105053.1"	"RP24-180F7.1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461
206	"ENSMUSG00000000958.10"	"Slc7a7"	chr14	-	54378995	54379121	54408502	54409048	54377765	54377910	54416588	54416770
207	"ENSMUSG00000029554.15"	"Mad1l1"	chr5	-	140117236	140117325	140143919	140144060	140088629	140088837	140193913	140194058
212	"ENSMUSG00000057363.12"	"Uxs1"	chr1	-	43780064	43780169	43790463	43790550	43774816	43774876	43797244	43797305
213	"ENSMUSG00000057363.12"	"Uxs1"	chr1	-	43780064	43780169	43790463	43790644	43774816	43774876	43797244	43797305
222	"ENSMUSG00000002679.14"	"Med6"	chr12	-	81574524	81574552	81579569	81579685	81573556	81573960	81581800	81581909
223	"ENSMUSG00000030346.16"	"Rad51ap1"	chr6	-	126928140	126928160	126929992	126930102	126927537	126927690	126934713	126934849
229	"ENSMUSG00000052752.15"	"Traf7"	chr17	-	24516504	24516599	24518741	24518799	24514712	24514866	24519130	24519246
231	"ENSMUSG00000034908.16"	"Sidt2"	chr9	-	45946983	45947055	45947835	45947888	45946744	45946816	45948214	45948308
233	"ENSMUSG00000030741.15"	"Spns1"	chr7	-	126370734	126370906	126371177	126371276	126370066	126370413	126371957	126372147
234	"ENSMUSG00000034088.15"	"Hdlbp"	chr1	-	93429377	93429485	93430097	93430304	93428147	93428252	93430954	93431170
235	"ENSMUSG00000021747.12"	"RP23-466M3.1"	chr14	-	8482416	8482620	8510861	8511193	8473350	8473412	8515252	8515375
236	"ENSMUSG00000022377.16"	"Asap1"	chr15	-	64208483	64208556	64312348	64312475	64191483	64191629	64349827	64349913
237	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6064340	6064421	6069830	6070091	6061846	6061972	6111684	6112363
238	"ENSMUSG00000030428.16"	"Ttyh1"	chr7	+	4122476	4122655	4124619	4124731	4119529	4119780	4125522	4125743
239	"ENSMUSG00000021115.15"	"Vrk1"	chr12	+	106042836	106042892	106062629	106062808	106036539	106036704	106070524	106070615
242	"ENSMUSG00000040481.17"	"Bptf"	chr11	-	107086711	107086897	107095001	107095190	107082512	107082700	107095715	107095925
243	"ENSMUSG00000078490.9"	"Cfap74"	chr4	+	155418846	155418990	155420246	155420345	155418619	155418695	155422199	155422304
252	"ENSMUSG00000038671.15"	"Arfrp1"	chr2	-	181364310	181364398	181364604	181364711	181364013	181364096	181365218	181365404
255	"ENSMUSG00000031155.16"	"Pim2"	chrX	+	7878683	7878793	7879627	7879678	7878301	7878556	7881247	7881620
256	"ENSMUSG00000031155.16"	"Pim2"	chrX	+	7879627	7879678	7882072	7882249	7878301	7878556	7882353	7883432
257	"ENSMUSG00000031155.16"	"Pim2"	chrX	+	7879627	7879678	7881247	7881620	7878683	7878793	7882072	7882249
261	"ENSMUSG00000028538.12"	"St3gal3"	chr4	-	118014704	118014797	118031839	118031882	117964329	117964424	118107548	118107693
264	"ENSMUSG00000030313.15"	"Dennd5b"	chr6	-	149054899	149055087	149068049	149068716	149044482	149045019	149080805	149080915
265	"ENSMUSG00000039242.10"	"B3galnt2"	chr13	+	13970766	13970867	13975437	13975634	13966309	13966457	13980600	13980696
266	"ENSMUSG00000039242.10"	"B3galnt2"	chr13	+	13970766	13970867	13975437	13975634	13966343	13966457	13987352	13987463
271	"ENSMUSG00000063524.13"	"Eno1"	chr4	+	150247450	150247652	150247830	150247939	150246569	150246767	150248060	150248119
274	"ENSMUSG00000090841.2"	"Myl6"	chr10	-	128492601	128492745	128493333	128493353	128492227	128492402	128493538	128493566
275	"ENSMUSG00000090841.2"	"Myl6"	chr10	-	128492938	128493045	128493333	128493353	128492601	128492745	128493538	128493566
277	"ENSMUSG00000029328.15"	"Hnrnpdl"	chr5	-	100036103	100036195	100036480	100036651	100033576	100034984	100036861	100036976
280	"ENSMUSG00000028156.12"	"Eif4e"	chr3	+	138546320	138546427	138547658	138547754	138526424	138527314	138550262	138550326
282	"ENSMUSG00000109771.1"	"RP23-316L10.2"	chr5	-	110087520	110087573	110092906	110092999	110080737	110080864	110094330	110094401
283	"ENSMUSG00000029655.17"	"N4bp2l2"	chr5	-	150643168	150643315	150647000	150647077	150608006	150608440	150647459	150647519
284	"ENSMUSG00000031848.15"	"Lsm4"	chr8	+	70676554	70676596	70677777	70677876	70673247	70673457	70677953	70678134
287	"ENSMUSG00000020974.6"	"Pole2"	chr12	-	69208916	69208971	69209311	69209401	69208020	69208080	69209821	69209994
288	"ENSMUSG00000020385.16"	"Clk4"	chr11	+	51268164	51268231	51270536	51270595	51267170	51267331	51271799	51272022
292	"ENSMUSG00000033373.16"	"Fntb"	chr12	+	76773257	76773393	76775593	76775664	76765597	76765638	76862485	76862550
294	"ENSMUSG00000008090.14"	"Fgfrl1"	chr5	+	108694894	108695118	108703285	108703558	108694501	108694532	108704666	108704747
295	"ENSMUSG00000033752.7"	"Mnd1"	chr3	-	84104934	84105049	84116426	84116501	84093554	84093599	84134017	84134166
296	"ENSMUSG00000024177.8"	"Nme4"	chr17	-	26093616	26093729	26093858	26093960	26091733	26092152	26094136	26094270
298	"ENSMUSG00000024236.18"	"Svil"	chr18	+	5055979	5056849	5057274	5057439	5048884	5049494	5058124	5058159
303	"ENSMUSG00000057113.13"	"Npm1"	chr11	-	33156002	33156104	33156663	33156747	33154926	33155220	33156990	33157048
304	"ENSMUSG00000031819.13"	"Emc8"	chr8	-	120659958	120660187	120660493	120660670	120659004	120659074	120660783	120660860
307	"ENSMUSG00000038777.19"	"Sema6c"	chr3	+	95168298	95168389	95168586	95168706	95167998	95168100	95168808	95168897
308	"ENSMUSG00000031328.15"	"Flna"	chrX	-	74228759	74228921	74229018	74229192	74228320	74228524	74229380	74229509
311	"ENSMUSG00000063145.10"	"Bbs5"	chr2	+	69656896	69656992	69661035	69661098	69655423	69655634	69663025	69663160
315	"ENSMUSG00000000804.14"	"Usp32"	chr11	-	85039200	85039341	85039994	85040170	85036521	85036639	85042487	85042680
316	"ENSMUSG00000038005.15"	"AC114920.2"	chr8	+	60893700	60893860	60895460	60895650	60890450	60890536	60896737	60896836
320	"ENSMUSG00000044477.11"	"Zfand3"	chr17	+	30135322	30135505	30153302	30153368	30060809	30060850	30192562	30192730
321	"ENSMUSG00000044477.11"	"Zfand3"	chr17	+	30153302	30153368	30192562	30192730	30060809	30060850	30208017	30208409
322	"ENSMUSG00000032397.7"	"Tipin"	chr9	+	64289709	64289782	64290373	64290449	64288107	64288243	64294009	64294132
323	"ENSMUSG00000030825.19"	"Hsd17b14"	chr7	+	45562914	45563019	45566119	45566216	45559380	45559472	45566646	45567318
334	"ENSMUSG00000024642.16"	"Tle4"	chr19	-	14544787	14544862	14564388	14564451	14517771	14517973	14594383	14594428
336	"ENSMUSG00000026975.10"	"Dph7"	chr2	+	24963022	24963156	24963455	24963543	24962399	24962625	24965559	24965654
337	"ENSMUSG00000026975.10"	"Dph7"	chr2	+	24963455	24963543	24965559	24965654	24962399	24962625	24966501	24966674
339	"ENSMUSG00000052298.12"	"Cdc42se2"	chr11	-	54740237	54740550	54756405	54756559	54723573	54723675	54787559	54787646
341	"ENSMUSG00000002329.7"	"Mdp1"	chr14	-	55659987	55660098	55660167	55660228	55659369	55659477	55660337	55660508
344	"ENSMUSG00000046753.10"	"Ccdc66"	chr14	-	27500240	27500682	27505637	27505663	27498723	27498889	27506650	27506715
346	"ENSMUSG00000026240.12"	"Cops7b"	chr1	+	86589163	86589341	86592290	86592366	86582903	86583096	86596750	86596839
347	"ENSMUSG00000026240.12"	"Cops7b"	chr1	+	86592290	86592366	86596750	86596839	86582903	86583096	86599002	86599205
349	"ENSMUSG00000027634.14"	"Ndrg3"	chr2	-	156958466	156958502	156970036	156970138	156950033	156950139	156991998	156992035
350	"ENSMUSG00000078671.11"	"Chd2"	chr7	-	73435734	73435978	73441585	73441679	73429641	73430000	73441768	73441799
351	"ENSMUSG00000042439.12"	"Zfp532"	chr18	+	65651559	65651722	65656350	65656632	65644192	65644369	65682894	65683007
356	"ENSMUSG00000018995.12"	"Nars2"	chr7	+	96973481	96973562	97002797	97002892	96959670	96959811	97023617	97023750
358	"ENSMUSG00000021252.11"	"RP23-43G12.1"	chr12	-	85819478	85819569	85822087	85822248	85816315	85816434	85824470	85824522
361	"ENSMUSG00000030452.16"	"Nipa2"	chr7	-	55944480	55944709	55961451	55961572	55937571	55937662	55962395	55962430
364	"ENSMUSG00000041765.6"	"Ubac2"	chr14	+	121973608	121973732	121983267	121983315	121908210	121908320	121994224	121994308
372	"ENSMUSG00000042605.16"	"Atxn2"	chr5	+	121772666	121772788	121783856	121784039	121749078	121749229	121785214	121785412
374	"ENSMUSG00000025217.15"	"Btrc"	chr19	+	45456532	45456610	45471014	45471104	45406544	45406586	45502931	45503163
376	"ENSMUSG00000061887.14"	"Ssbp3"	chr4	+	107009678	107009768	107027216	107027297	106915644	106915729	107028192	107028252
377	"ENSMUSG00000061887.14"	"Ssbp3"	chr4	+	107009678	107009768	107027216	107027297	106915644	106915729	107030861	107030928
381	"ENSMUSG00000032387.15"	"Rbpms2"	chr9	+	65649966	65650005	65650561	65650624	65649348	65649426	65650932	65651083
383	"ENSMUSG00000034729.16"	"Mrps10"	chr17	+	47375933	47376042	47377759	47377849	47374972	47375109	47378201	47378678
384	"ENSMUSG00000028578.8"	"Caap1"	chr4	-	94549118	94549194	94550421	94550506	94521061	94521135	94551264	94551465
386	"ENSMUSG00000028577.13"	"Plaa"	chr4	-	94573981	94574083	94575165	94575234	94571686	94571851	94578386	94578455
387	"ENSMUSG00000028577.13"	"Plaa"	chr4	-	94575165	94575234	94578386	94578455	94573860	94574083	94582480	94582700
389	"ENSMUSG00000017664.16"	"Slc35c2"	chr2	-	165280785	165280891	165281307	165281380	165280616	165280700	165282080	165282144
391	"ENSMUSG00000040648.14"	"Ppip5k2"	chr1	-	97756843	97756934	97759168	97759364	97755885	97755971	97761424	97761538
393	"ENSMUSG00000028943.18"	"Espn"	chr4	-	152131051	152131294	152132923	152132956	152130768	152130961	152134160	152134441
394	"ENSMUSG00000001441.13"	"Npepps"	chr11	-	97236064	97236169	97238093	97238258	97235054	97235115	97240928	97241043
395	"ENSMUSG00000001441.13"	"Npepps"	chr11	-	97242602	97242803	97244427	97244535	97241950	97242047	97248201	97248323
398	"ENSMUSG00000026709.10"	"Dars2"	chr1	-	161053940	161054120	161056460	161056530	161051330	161051438	161057446	161057553
400	"ENSMUSG00000027201.16"	"Myef2"	chr2	-	125097976	125098075	125098449	125098518	125097562	125097634	125100318	125100420
401	"ENSMUSG00000027201.16"	"Myef2"	chr2	-	125109669	125109823	125110479	125110671	125109153	125109203	125113848	125113942
416	"ENSMUSG00000042569.13"	"Dhrs7b"	chr11	+	60852418	60852511	60855699	60855852	60851741	60851958	60857717	60858423
417	"ENSMUSG00000080316.11"	"Spaca6"	chr17	+	17837508	17837586	17837664	17837769	17836720	17836744	17838086	17838243
418	"ENSMUSG00000080316.11"	"Spaca6"	chr17	+	17837508	17837586	17837664	17837771	17836720	17836744	17838086	17838243
420	"ENSMUSG00000023809.9"	"Rps6ka2"	chr17	+	7227912	7228029	7236045	7236127	7170114	7170443	7246701	7246782
421	"ENSMUSG00000021264.12"	"Yy1"	chr12	+	108806478	108806641	108812918	108812979	108792972	108794091	108814605	108814764
422	"ENSMUSG00000021264.12"	"Yy1"	chr12	+	108812918	108812979	108814605	108814764	108806238	108806641	108815472	108815564
423	"ENSMUSG00000035268.14"	"Pkig"	chr2	+	163703485	163703555	163721127	163721301	163659149	163659235	163725456	163725688
425	"ENSMUSG00000023051.11"	"Tarbp2"	chr15	+	102519121	102519291	102520474	102520577	102518801	102518844	102521120	102521213
426	"ENSMUSG00000051169.14"	"Rpusd3"	chr6	-	113416306	113416446	113416788	113416912	113415318	113415722	113417140	113417225
427	"ENSMUSG00000078970.5"	"Wdr92"	chr11	+	17219013	17219114	17222196	17222327	17211917	17212146	17224548	17224650
435	"ENSMUSG00000030083.11"	"Abtb1"	chr6	-	88839184	88839230	88839330	88839490	88838844	88838961	88839626	88839768
436	"ENSMUSG00000020790.14"	"Ankfy1"	chr11	+	72712156	72712349	72714364	72714483	72690005	72690034	72722627	72722763
437	"ENSMUSG00000032966.14"	"Fkbp1a"	chr2	+	151542817	151542865	151557385	151557498	151542482	151542744	151559457	151559620
439	"ENSMUSG00000007815.13"	"Rhoa"	chr9	+	108315307	108315382	108327583	108327741	108306128	108306553	108330870	108330991
441	"ENSMUSG00000020070.18"	"Rufy2"	chr10	+	62989122	62989240	62990979	62991081	62982670	62982844	62993116	62993240
449	"ENSMUSG00000024799.15"	"Tm7sf2"	chr19	-	6066498	6066544	6066967	6067022	6066310	6066414	6067122	6067319
450	"ENSMUSG00000024799.15"	"Tm7sf2"	chr19	-	6066498	6066693	6066967	6067022	6065526	6066414	6067122	6067319
463	"ENSMUSG00000024165.8"	"Jpt2"	chr17	-	24945579	24945628	24948637	24948780	24942155	24944678	24956017	24956166
464	"ENSMUSG00000019518.10"	"Ap4m1"	chr5	+	138172786	138172893	138172971	138173068	138172348	138172437	138174749	138174860
465	"ENSMUSG00000039678.12"	"Tbc1d13"	chr2	+	30136672	30136713	30137120	30137182	30134796	30134870	30137281	30137296
468	"ENSMUSG00000024078.6"	"Ttc27"	chr17	+	74751061	74751128	74770242	74770356	74747651	74747764	74777643	74777739
470	"ENSMUSG00000024962.13"	"Vegfb"	chr19	-	6986020	6986094	6986289	6986486	6985804	6985840	6986773	6986816
471	"ENSMUSG00000024962.13"	"Vegfb"	chr19	-	6986289	6986486	6986773	6986816	6985804	6985840	6987351	6987629
472	"ENSMUSG00000024962.13"	"Vegfb"	chr19	-	6986289	6986486	6986773	6986816	6986020	6986094	6987351	6987629
474	"ENSMUSG00000031351.15"	"Zfp185"	chrX	+	73003372	73003459	73012439	73012628	73002574	73002658	73015738	73015849
476	"ENSMUSG00000029534.17"	"St7"	chr6	+	17921988	17922139	17930765	17930858	17906407	17906510	17934118	17934258
477	"ENSMUSG00000029534.17"	"St7"	chr6	+	17921988	17922139	17934118	17934258	17906407	17906510	17942669	17942966
483	"ENSMUSG00000036180.15"	"Gatad2a"	chr8	-	69935778	69936036	69950652	69950754	69917945	69918078	69974089	69974271
484	"ENSMUSG00000036180.15"	"Gatad2a"	chr8	-	69935778	69936036	69950652	69950754	69917945	69918078	69995942	69996233
486	"ENSMUSG00000040183.13"	"Ankrd6"	chr4	-	32824395	32824494	32827088	32827187	32823405	32823504	32828709	32828808
488	"ENSMUSG00000031708.16"	"Tecr"	chr8	-	83572840	83572946	83573027	83573045	83572680	83572753	83573219	83573252
489	"ENSMUSG00000031708.16"	"Tecr"	chr8	-	83572840	83572946	83573027	83573143	83572680	83572753	83573219	83573323
491	"ENSMUSG00000036054.15"	"Sugp2"	chr8	+	70260468	70260589	70261230	70261317	70259751	70259819	70262870	70263105
492	"ENSMUSG00000023150.14"	"Ivns1abp"	chr1	+	151349375	151349603	151350980	151351109	151344476	151344755	151351553	151351723
495	"ENSMUSG00000021268.17"	"Meg3"	chr12	+	109546429	109546542	109549290	109549371	109544947	109545041	109549478	109549552
497	"ENSMUSG00000026020.9"	"Nop58"	chr1	+	59704062	59704208	59704623	59704750	59702812	59702947	59705592	59705756
498	"ENSMUSG00000026020.9"	"Nop58"	chr1	+	59704623	59704750	59705592	59705756	59704062	59704208	59706632	59706767
501	"ENSMUSG00000032299.10"	"Commd4"	chr9	-	57155901	57155982	57156171	57156291	57155411	57155588	57156515	57156555
503	"ENSMUSG00000035439.13"	"Haus8"	chr8	-	71255646	71255712	71256007	71256120	71255406	71255565	71256458	71256551
504	"ENSMUSG00000033632.15"	"RP24-483G17.1"	chr18	+	25339713	25340384	25344863	25344962	25289938	25290066	25399925	25400107
507	"ENSMUSG00000061723.18"	"Tnnt3"	chr7	+	142505515	142505530	142507749	142507788	142504022	142504065	142508334	142508353
512	"ENSMUSG00000038368.16"	"Focad"	chr4	+	88128897	88129052	88154636	88154741	88124587	88124662	88169906	88170008
522	"ENSMUSG00000004535.12"	"Tax1bp1"	chr6	+	52729280	52729468	52733190	52733349	52727198	52727301	52736849	52736998
525	"ENSMUSG00000022607.16"	"Ptk2"	chr15	-	73343132	73343359	73365040	73365195	73330848	73331015	73394647	73394744
528	"ENSMUSG00000026305.15"	"Lrrfip1"	chr1	+	91084945	91085005	91093559	91093637	91068562	91068649	91100576	91100581
533	"ENSMUSG00000022498.16"	"Txndc11"	chr16	-	11104565	11104659	11116794	11116924	11091585	11091786	11122669	11122767
534	"ENSMUSG00000022498.16"	"Txndc11"	chr16	-	11116794	11116924	11122669	11122767	11104610	11104659	11134267	11134553
536	"ENSMUSG00000060227.15"	"Casc4"	chr2	+	121906697	121906778	121910798	121910897	121905929	121906071	121911870	121912041
538	"ENSMUSG00000031311.17"	"Nono"	chrX	+	101430492	101430552	101437208	101437377	101429554	101429762	101439486	101439680
539	"ENSMUSG00000031311.17"	"Nono"	chrX	+	101430495	101430552	101437208	101437377	101429734	101429762	101439486	101439680
543	"ENSMUSG00000028608.15"	"RP23-40G2.3"	chr4	+	107890118	107890202	107891464	107891521	107889812	107889896	107891954	107892036
545	"ENSMUSG00000022111.9"	"Uchl3"	chr14	+	101668528	101668576	101690571	101690647	101666991	101667077	101695158	101695217
553	"ENSMUSG00000037286.15"	"Stag1"	chr9	+	100737977	100738142	100776755	100776832	100643447	100643796	100786491	100786696
556	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035751	161035804	161035982	161036014	161034928	161035194	161036207	161036244
557	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161036014	161036207	161036244	161035751	161035804	161036548	161036579
558	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161036014	161036207	161036579	161035751	161035804	161036819	161036852
559	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036207	161036244	161036548	161036579	161035982	161036014	161036819	161036852
560	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036207	161036579	161036819	161036852	161035982	161036014	161038224	161038272
561	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036548	161036579	161036819	161036852	161035982	161036014	161038224	161038272
562	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036548	161036579	161036819	161036852	161036207	161036244	161038224	161038272
563	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036819	161036852	161038224	161038272	161036207	161036579	161038456	161038478
567	"ENSMUSG00000018651.14"	"Tada2a"	chr11	-	84118247	84118307	84121081	84121188	84109953	84110045	84126987	84127095
