ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
34	"ENSMUSG00000020109.13"	"Dnajb12"	chr10	+	59890839	59890985	59890027	59890208	59892671	59892857
35	"ENSMUSG00000033044.12"	"Dhrs7c"	chr11	+	67800638	67800803	67798697	67798779	67801129	67801339
36	"ENSMUSG00000024511.15"	"Rab27b"	chr18	-	70049437	70049608	69996068	69996240	70053125	70053588
37	"ENSMUSG00000023009.14"	"Nckap5l"	chr15	-	99436026	99436087	99434039	99434189	99457631	99457748
38	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891
39	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
40	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161174	1161230	1157906	1158634	1168089	1168185
41	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161178	1161230	1157906	1158634	1168089	1168185
42	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1169122	1169257	1168089	1168185	1169964	1170184
43	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1239710	1239819
44	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1226694	1226826	1224496	1224546	1239710	1239819
45	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239710	1239819	1199454	1199513	1245155	1245216
46	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239991	1240147	1239710	1239819	1245155	1245219
47	"ENSMUSG00000099780.1"	"RP24-76P21.2"	chrY	+	42143586	42143770	42142676	42142862	42144297	42144786
48	"ENSMUSG00000006386.15"	"Tek"	chr4	+	94799126	94799279	94798610	94798721	94804284	94804416
49	"ENSMUSG00000048445.6"	"Ccdc57"	chr11	-	120871047	120871262	120866554	120866676	120873585	120873671
50	"ENSMUSG00000048445.6"	"Ccdc57"	chr11	-	120895256	120895419	120894598	120894733	120897808	120897967
51	"ENSMUSG00000024008.15"	"Cpne5"	chr17	-	29202854	29202905	29202504	29202568	29204688	29204748
52	"ENSMUSG00000032375.15"	"Aph1b"	chr9	-	66788198	66788451	66784517	66784645	66789645	66789768
53	"ENSMUSG00000032375.15"	"Aph1b"	chr9	-	66789645	66789768	66784517	66784645	66790597	66790668
54	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92215469	92215641	92211871	92212546	92220955	92221085
55	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92347827	92348446	92347328	92347445	92349148	92349337
56	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92353224	92353342	92351126	92351451	92354762	92354953
57	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92353224	92353342	92351230	92351360	92354762	92354953
58	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697016	130697085	130691014	130691148	130697905	130698085
59	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697016	130698085	130689182	130691148	130698678	130698743
60	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697905	130698085	130691014	130691148	130698678	130698743
61	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130699187	130699250	130697696	130698743	130699980	130700110
62	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130699980	130700110	130698678	130698743	130700769	130700874
63	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130705376	130705501	130702230	130702438	130706425	130706482
64	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65179762	65179815	65175230	65175368	65181627	65181698
65	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65179762	65179815	65175230	65175368	65186208	65186459
66	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65175230	65175368	65186208	65186459
67	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65175230	65175368	65186304	65186479
68	"ENSMUSG00000025950.16"	"Idh1"	chr1	-	65181627	65181698	65179762	65179815	65186208	65186459
69	"ENSMUSG00000046351.11"	"Zfp322a"	chr13	-	23362579	23362654	23357031	23357713	23362802	23362875
70	"ENSMUSG00000025731.15"	"RP23-356J2.10"	chr17	+	25875959	25876122	25875499	25875726	25876219	25876279
71	"ENSMUSG00000021366.8"	"Hivep1"	chr13	+	42169240	42169309	42167561	42167663	42181431	42181910
72	"ENSMUSG00000086236.9"	"RP23-216O10.2"	chr9	+	103427149	103427386	103426576	103426815	103427688	103427787
73	"ENSMUSG00000086236.9"	"RP23-216O10.2"	chr9	+	103427688	103427787	103426576	103426815	103428397	103428506
74	"ENSMUSG00000025608.9"	"Podxl"	chr6	-	31523427	31523536	31522991	31523219	31524304	31524311
75	"ENSMUSG00000073460.4"	"Pnldc1"	chr17	-	12897260	12897330	12895511	12895597	12899532	12899676
76	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32208156	32208223	32201948	32202465	32208711	32209233
77	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32217382	32217438	32214566	32214650	32217659	32217734
78	"ENSMUSG00000021911.16"	"Parg"	chr14	+	32262683	32262831	32258077	32258153	32271629	32271708
79	"ENSMUSG00000006850.7"	"Tmco6"	chr18	+	36741051	36741146	36739154	36739341	36741661	36741829
80	"ENSMUSG00000062878.3"	"Olfr298"	chr7	-	86491788	86491965	86486321	86489567	86492456	86492484
81	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47500793	47500870	47472560	47472717	47504985	47505132
82	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47500793	47500870	47472560	47472717	47526204	47526314
83	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47500793	47500870	47472560	47472717	47529174	47529341
84	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47504985	47505132	47472602	47472717	47526204	47526314
85	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47504985	47505132	47472602	47472717	47529174	47529305
86	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47504985	47505132	47500793	47500870	47526204	47526314
87	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47504985	47505132	47500793	47500870	47529174	47529305
88	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47507264	47507446	47504985	47505132	47526204	47526236
89	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47507264	47507446	47504985	47505132	47529174	47531900
90	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47508175	47508267	47507264	47507446	47526204	47526314
91	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47509056	47509229	47507264	47507446	47526204	47526314
92	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47526204	47526314	47472618	47472717	47529174	47529270
93	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47526204	47526314	47500793	47500870	47529174	47529270
94	"ENSMUSG00000037536.14"	"Fbxo34"	chr14	+	47526204	47526314	47504985	47505132	47529174	47529270
95	"ENSMUSG00000034341.17"	"Wbp2"	chr11	-	116080545	116080680	116080221	116080344	116081231	116081324
96	"ENSMUSG00000021336.17"	"Slc17a4"	chr13	-	23905242	23905330	23904711	23904798	23905416	23905650
97	"ENSMUSG00000034177.15"	"Rnf43"	chr11	+	87718377	87718500	87662721	87664867	87727149	87727224
98	"ENSMUSG00000039055.4"	"Eme1"	chr11	-	94647290	94647406	94645815	94646005	94647627	94647748
99	"ENSMUSG00000039055.4"	"Eme1"	chr11	-	94650222	94651023	94650007	94650138	94653695	94653964
100	"ENSMUSG00000085984.7"	"RP23-404O10.2"	chr14	-	66296492	66296677	66295954	66296144	66296808	66296940
101	"ENSMUSG00000021067.8"	"Sav1"	chr12	-	69969069	69969213	69965011	69966347	69984208	69984652
102	"ENSMUSG00000021067.8"	"Sav1"	chr12	-	69975967	69976238	69969069	69969213	69984208	69984652
103	"ENSMUSG00000003131.7"	"Pafah1b2"	chr9	-	45975080	45975197	45972941	45973064	45976040	45976130
104	"ENSMUSG00000003131.7"	"Pafah1b2"	chr9	-	45983850	45984039	45978655	45978729	45984704	45984827
105	"ENSMUSG00000033389.16"	"Arhgap44"	chr11	-	65005453	65005505	65002038	65003450	65008062	65008440
106	"ENSMUSG00000033389.16"	"Arhgap44"	chr11	-	65012906	65012924	65011870	65012098	65021940	65022121
107	"ENSMUSG00000044937.15"	"Ttc41"	chr10	+	86707235	86707344	86705811	86706017	86712764	86713739
108	"ENSMUSG00000044937.15"	"Ttc41"	chr10	+	86708562	86708647	86707235	86707344	86712764	86713739
109	"ENSMUSG00000044937.15"	"Ttc41"	chr10	+	86744425	86744604	86736800	86736999	86750246	86750386
110	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70895709	70894721	70895507	70895915	70896045
111	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70895378	70895709	70896132	70896180
112	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895915	70896045	70895378	70895709	70897358	70897396
113	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896180	70895599	70895709	70897358	70897399
114	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896180	70895915	70896045	70897358	70897399
115	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70895378	70895709	70897358	70897396
116	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896132	70896312	70895599	70896045	70897358	70897396
117	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70896145	70896312	70895915	70896045	70897358	70897400
118	"ENSMUSG00000048004.15"	"Tmem196"	chr12	+	120007221	120007315	119946423	119946620	120011247	120011304
119	"ENSMUSG00000048004.15"	"Tmem196"	chr12	+	120016132	120016206	120014747	120015002	120018509	120018706
120	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22401671	22401931	22399319	22399379	22411632	22411920
121	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22421818	22421872	22412844	22412974	22435876	22435927
122	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22436019	22436067	22435876	22435927	22436200	22436288
123	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22436200	22436288	22435876	22435927	22436437	22436514
124	"ENSMUSG00000013089.15"	"Etv5"	chr16	-	22437271	22437345	22436437	22436560	22439516	22439570
125	"ENSMUSG00000002668.7"	"Dennd1c"	chr17	-	57067916	57067949	57067788	57067833	57070112	57070184
126	"ENSMUSG00000031394.11"	"Opn1mw"	chrX	+	74139802	74139968	74138418	74138587	74143445	74143496
127	"ENSMUSG00000031394.11"	"Opn1mw"	chrX	+	74144551	74144568	74143445	74143685	74150545	74150751
128	"ENSMUSG00000042216.13"	"Sgsm1"	chr5	-	113277508	113277673	113276033	113276172	113279132	113279265
129	"ENSMUSG00000022842.17"	"Ece2"	chr16	+	20630351	20630438	20629827	20630047	20630780	20630910
130	"ENSMUSG00000022842.17"	"Ece2"	chr16	+	20630780	20630910	20629850	20630047	20631096	20631312
131	"ENSMUSG00000036949.16"	"Slc39a12"	chr2	+	14435658	14435766	14434205	14434355	14444011	14444078
132	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65589214	65589340	65589004	65589137	65589450	65589604
133	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591686	65591859	65589947	65590054	65592123	65592230
134	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591719	65591859	65589947	65590054	65592123	65592230
135	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65593456	65593602	65593261	65593349	65594386	65594578
136	"ENSMUSG00000024413.13"	"Npc1"	chr18	-	12223032	12223155	12217993	12221912	12236180	12236326
137	"ENSMUSG00000011958.17"	"Bnip2"	chr9	+	69998247	69998333	69997080	69997257	69999093	69999158
138	"ENSMUSG00000011958.17"	"Bnip2"	chr9	+	70004305	70004341	70003568	70003667	70007063	70008317
139	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145126092	145126225	145124210	145124375	145127022	145127151
140	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145127022	145127151	145126092	145126225	145127830	145127890
141	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145139783	145139894	145136587	145136723	145144311	145144416
142	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145145953	145144311	145144416	145148530	145148616
143	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145146762	145146921	145144311	145144416	145148530	145148616
144	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145150735	145150791	145149017	145149077	145150959	145151085
145	"ENSMUSG00000040613.14"	"Apobec1"	chr6	-	122588144	122588172	122581352	122581750	122591086	122591204
146	"ENSMUSG00000040613.14"	"Apobec1"	chr6	-	122596631	122596777	122591086	122591204	122600057	122600125
147	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30879194	30879340	30878049	30878107	30880235	30880268
148	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30879928	30880017	30879194	30879340	30880235	30880278
149	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30879928	30880031	30879192	30879340	30880235	30880278
150	"ENSMUSG00000046764.8"	"RP24-474I24.1"	chr6	-	60401615	60401686	60397558	60397660	60402037	60402177
151	"ENSMUSG00000046764.8"	"RP24-474I24.1"	chr6	-	60402037	60402177	60401615	60401686	60403547	60403671
152	"ENSMUSG00000029772.17"	"Ahcyl2"	chr6	+	29820328	29820634	29799438	29799584	29863142	29863251
153	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915954	26916006	26915595	26915769	26916256	26916300
154	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136191899	136191985	136189551	136189619	136194296	136194397
155	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136194296	136194397	136189551	136189619	136197779	136197858
156	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136195077	136195130	136194296	136194397	136197779	136197858
157	"ENSMUSG00000039737.11"	"Prkrip1"	chr5	-	136195077	136195151	136194296	136194397	136197779	136197822
158	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918276	79918476	79915806	79918050	79921371	79921438
159	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79918825	79918109	79918476	79921371	79921438
160	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79918927	79918416	79918476	79921371	79921438
161	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79919104	79915809	79918476	79921371	79921438
162	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79923471	79923537	79915812	79921438	79930585	79930629
163	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79930585	79930629	79923471	79923537	79970868	79971118
164	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35708199	35708356	35707647	35707801	35708813	35708912
165	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35721260	35721413	35719852	35720741	35723028	35723222
166	"ENSMUSG00000034744.13"	"Nagk"	chr6	+	83801090	83801188	83800270	83800358	83801497	83801576
167	"ENSMUSG00000032415.14"	"Ube2cbp"	chr9	-	86372340	86372479	86307305	86307876	86422840	86423004
168	"ENSMUSG00000032415.14"	"Ube2cbp"	chr9	-	86448762	86448853	86440585	86440754	86451813	86452010
169	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56097881	56097985	56097234	56097526	56098483	56098557
170	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126888890	126889060	126886217	126886315	126891602	126891832
171	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126891602	126891832	126886221	126886315	126896748	126896876
172	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126896748	126896938	126890980	126891832	126897025	126897224
173	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126896748	126896938	126890980	126891832	126898223	126898281
174	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897224	126891602	126891832	126898223	126898253
175	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897224	126896748	126896938	126898223	126898253
176	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897227	126891602	126891832	126898223	126898276
177	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897227	126896748	126896938	126898223	126898276
178	"ENSMUSG00000033955.12"	"Tnks1bp1"	chr2	+	85054282	85054352	85051924	85052555	85058125	85058557
179	"ENSMUSG00000069170.14"	"Adgrv1"	chr13	-	81424222	81424397	81422128	81422264	81427602	81427746
180	"ENSMUSG00000069170.14"	"Adgrv1"	chr13	-	81430306	81430599	81427602	81427746	81433424	81433898
181	"ENSMUSG00000012483.4"	"Rpa3"	chr6	-	8257686	8257761	8256694	8256803	8258999	8259173
182	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34790502	34790567	34785566	34785728	34795171	34795305
183	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34790502	34790655	34785030	34785728	34795171	34795329
184	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34795171	34795329	34790502	34790655	34797374	34797433
185	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34797374	34797433	34790502	34790655	34799750	34799754
186	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82728066	82728238	82727227	82727336	82729215	82729436
187	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82731112	82731282	82729215	82729436	82735418	82735507
188	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82737012	82737087	82735418	82735507	82741817	82741976
189	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82737012	82737087	82735418	82735507	82750519	82750604
190	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82741817	82741976	82735418	82735507	82747082	82747142
191	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82741817	82741976	82735418	82735507	82750519	82750604
192	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82741817	82741976	82737012	82737087	82750519	82750604
193	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82745523	82745556	82735418	82735507	82747082	82747142
194	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82745523	82745556	82741638	82741976	82747082	82747142
195	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82747082	82747142	82735415	82735507	82750519	82750604
196	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82747082	82747142	82741817	82741976	82750519	82750604
197	"ENSMUSG00000040154.11"	"Wfdc5"	chr2	-	164178476	164178641	164176326	164178165	164178735	164178879
198	"ENSMUSG00000037295.7"	"Ldlrap1"	chr4	-	134758918	134759061	134757340	134757453	134767815	134768024
199	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130713396	130713503	130712951	130713026	130717260	130717347
200	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130717260	130717347	130713396	130713503	130719839	130719929
201	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130739370	130739469	130738980	130739098	130740400	130740489
202	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130814178	130814303	130812844	130812941	130820468	130820588
203	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130820468	130820588	130814178	130814303	130839963	130840134
204	"ENSMUSG00000027309.18"	"RP23-175J8.3"	chr2	-	130822420	130822500	130820468	130820588	130839963	130840111
205	"ENSMUSG00000039717.16"	"Ralyl"	chr3	+	14107218	14107266	14081207	14081240	14115692	14115727
206	"ENSMUSG00000039717.16"	"Ralyl"	chr3	+	14143273	14143446	14129557	14129671	14181037	14181972
207	"ENSMUSG00000024772.9"	"Ehd1"	chr19	+	6294213	6294626	6281217	6281315	6297532	6297697
208	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94220559	94220611	94214600	94214631	94227662	94227855
209	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94281270	94281333	94243653	94243771	94286488	94286552
210	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94286488	94286617	94243653	94243771	94292667	94292742
211	"ENSMUSG00000032939.14"	"Nup93"	chr8	+	94309587	94309705	94308903	94309022	94310298	94310382
212	"ENSMUSG00000021577.14"	"Sdha"	chr13	-	74348942	74349029	74344916	74344937	74350145	74350235
213	"ENSMUSG00000027347.18"	"Rasgrp1"	chr2	-	117284852	117285232	117279992	117282676	117286071	117286224
214	"ENSMUSG00000027347.18"	"Rasgrp1"	chr2	-	117286071	117286224	117282541	117282676	117286841	117286878
215	"ENSMUSG00000027347.18"	"Rasgrp1"	chr2	-	117287823	117287968	117286841	117286878	117288616	117288726
216	"ENSMUSG00000027347.18"	"Rasgrp1"	chr2	-	117289344	117289449	117288616	117288726	117290315	117290396
217	"ENSMUSG00000036356.15"	"Csgalnact1"	chr8	-	68588353	68588424	68557070	68557120	68645798	68645935
218	"ENSMUSG00000036356.15"	"Csgalnact1"	chr8	-	68651922	68652041	68645798	68645935	68735025	68735115
219	"ENSMUSG00000036356.15"	"Csgalnact1"	chr8	-	68718853	68719157	68645798	68645935	68735025	68735114
220	"ENSMUSG00000036356.15"	"Csgalnact1"	chr8	-	68718853	68719494	68645798	68645935	68735025	68735102
221	"ENSMUSG00000005125.13"	"Ndrg1"	chr15	-	66944775	66944838	66944003	66944064	66946431	66946457
222	"ENSMUSG00000005125.13"	"Ndrg1"	chr15	-	66949116	66949260	66948378	66948484	66959361	66959397
223	"ENSMUSG00000038390.11"	"Gpr162"	chr6	-	124862908	124862960	124861730	124862122	124863670	124863712
224	"ENSMUSG00000038390.11"	"Gpr162"	chr6	-	124862908	124863025	124859491	124862122	124863670	124863712
225	"ENSMUSG00000024675.19"	"Ms4a4c"	chr19	+	11421257	11421359	11418992	11419118	11426195	11427246
226	"ENSMUSG00000075706.10"	"Gpx4"	chr10	+	80054699	80054844	80054464	80054608	80054967	80055107
227	"ENSMUSG00000111590.2"	"Olfr1192-ps1"	chr2	+	88649873	88650110	88648508	88648870	88652123	88653079
228	"ENSMUSG00000031546.6"	"Gins4"	chr8	-	23227248	23227339	23226615	23227175	23229415	23229504
229	"ENSMUSG00000030007.8"	"Cct7"	chr6	+	85461044	85461170	85459941	85460048	85461507	85461560
230	"ENSMUSG00000030007.8"	"Cct7"	chr6	+	85464779	85464944	85461770	85462197	85465899	85465937
231	"ENSMUSG00000029407.10"	"Uso1"	chr5	+	92195347	92195434	92194011	92194175	92199816	92199924
232	"ENSMUSG00000029407.10"	"Uso1"	chr5	+	92198335	92198434	92195347	92195434	92199816	92199924
233	"ENSMUSG00000021978.9"	"Extl3"	chr14	-	65080379	65080475	65075583	65078189	65097996	65098106
234	"ENSMUSG00000021978.9"	"Extl3"	chr14	-	65080379	65080515	65075583	65078189	65097996	65098105
235	"ENSMUSG00000019820.11"	"Utrn"	chr10	-	12486385	12486654	12481223	12481370	12501377	12501507
236	"ENSMUSG00000085620.2"	"RP23-235J20.4"	chr13	-	31407354	31407587	31406917	31406975	31408777	31408922
237	"ENSMUSG00000046854.16"	"Pip5kl1"	chr2	+	32580945	32581172	32580278	32580429	32583272	32583771
238	"ENSMUSG00000023971.8"	"Rrp36"	chr17	-	46672705	46672847	46672524	46672591	46674196	46674255
239	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124594762	124594831	124592480	124592534	124595552	124595596
240	"ENSMUSG00000029387.10"	"Gtf2h3"	chr5	+	124595552	124595688	124594762	124594831	124595802	124595839
241	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140484124	140484233	140450195	140450304	140507699	140507849
242	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140507699	140507849	140484124	140484233	140509383	140509613
243	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140523087	140523260	140518865	140518971	140533860	140533995
244	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140530752	140530824	140523087	140523260	140533860	140533995
245	"ENSMUSG00000052726.15"	"Kcnt2"	chr1	+	140533860	140533995	140518865	140518971	140552959	140553071
