ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
63	"ENSMUSG00000071454.13"	"Dtnb"	chr12	+	3617605	3617691	3632809	3632964	3596648	3596862	3643916	3644022
64	"ENSMUSG00000071454.13"	"Dtnb"	chr12	+	3773550	3773640	3776058	3776109	3772586	3772746	3779618	3779654
65	"ENSMUSG00000071454.13"	"Dtnb"	chr12	+	3773550	3773640	3779618	3779654	3772586	3772746	3781105	3781398
66	"ENSMUSG00000071454.13"	"Dtnb"	chr12	+	3774569	3774610	3776058	3776109	3773550	3773640	3779618	3779654
67	"ENSMUSG00000053510.12"	"Nrd1"	chr4	+	109056509	109056648	109058258	109058306	109056289	109056321	109058581	109058634
68	"ENSMUSG00000006442.10"	"Srm"	chr4	+	148592043	148592164	148592481	148592574	148591502	148591786	148593287	148593441
69	"ENSMUSG00000017723.11"	"Wfdc2"	chr2	+	164563307	164563451	164564056	164564212	164562578	164562804	164565791	164565938
70	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38682940	38683009	38686803	38686896	38679319	38681165	38687015	38687109
71	"ENSMUSG00000021639.16"	"Gtf2h2"	chr13	-	100479190	100479254	100480539	100480647	100477103	100477210	100481003	100481091
72	"ENSMUSG00000021639.16"	"Gtf2h2"	chr13	-	100480539	100480647	100481003	100481091	100479190	100479254	100481211	100481302
73	"ENSMUSG00000040225.15"	"Prrc2c"	chr1	-	162688115	162688217	162691140	162691233	162684054	162684256	162692372	162692624
74	"ENSMUSG00000026439.14"	"Rbbp5"	chr1	+	132484745	132484801	132484801	132484918	132484051	132484077	132489587	132489728
75	"ENSMUSG00000034245.10"	"Hdac11"	chr6	+	91166242	91166285	91167803	91167880	91165560	91165677	91168808	91168871
76	"ENSMUSG00000002718.14"	"Cse1l"	chr2	+	166935922	166936026	166937341	166937439	166934752	166934889	166939634	166939785
77	"ENSMUSG00000057375.13"	"Yipf1"	chr4	+	107318941	107319105	107336113	107336194	107315762	107315842	107336436	107336524
78	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95600964	95601116	95623480	95623569	95585243	95585447	95696959	95697075
79	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95738788	95738917	95769425	95769529	95696959	95697075	95800556	95800664
80	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95769425	95769529	95800556	95800664	95738788	95738917	95837584	95837659
81	"ENSMUSG00000028573.18"	"Fggy"	chr4	+	95844072	95844193	95849581	95849676	95837584	95837659	95922924	95922986
82	"ENSMUSG00000066803.2"	"Vmn1r84"	chr7	-	12367306	12367512	12368003	12368114	12366544	12366625	12369202	12369273
83	"ENSMUSG00000029550.11"	"Sppl3"	chr5	+	115061561	115061639	115074814	115074903	115011136	115011615	115082220	115082340
84	"ENSMUSG00000015016.8"	"Acsf3"	chr8	+	122779945	122780635	122781432	122781588	122775485	122775590	122783946	122784101
85	"ENSMUSG00000026860.16"	"Sh3glb2"	chr2	-	30347080	30347104	30348554	30348617	30346610	30346700	30350287	30350380
86	"ENSMUSG00000026222.16"	"Sp100"	chr1	+	85681085	85681139	85691974	85692049	85679058	85679109	85694258	85694309
87	"ENSMUSG00000023079.14"	"Gtf2ird1"	chr5	-	134360237	134360275	134362510	134362548	134358987	134359118	134363181	134363374
88	"ENSMUSG00000023079.14"	"Gtf2ird1"	chr5	-	134360953	134361146	134363181	134363374	134360237	134360275	134363901	134363979
89	"ENSMUSG00000033287.16"	"Kctd17"	chr15	+	78436900	78436963	78437157	78437232	78435584	78435710	78437583	78437671
90	"ENSMUSG00000033287.16"	"Kctd17"	chr15	+	78436900	78436994	78437157	78437232	78435584	78435710	78437583	78437671
91	"ENSMUSG00000027699.19"	"Ect2"	chr3	-	27146836	27146882	27148794	27148887	27145955	27146045	27148992	27149072
92	"ENSMUSG00000027699.19"	"Ect2"	chr3	-	27146836	27147019	27148794	27148887	27145955	27146045	27148992	27149072
93	"ENSMUSG00000022760.16"	"Thap7"	chr16	-	17528934	17529075	17530229	17530385	17527981	17528740	17530777	17530857
94	"ENSMUSG00000022407.10"	"Adsl"	chr15	+	80955619	80955664	80956212	80956292	80952196	80952400	80960394	80960566
95	"ENSMUSG00000027104.18"	"Atf2"	chr2	-	73846196	73846375	73850588	73850717	73842359	73842446	73850863	73850982
96	"ENSMUSG00000063052.9"	"Lrrc40"	chr3	+	158040440	158040622	158041585	158041659	158036661	158036876	158043560	158043690
97	"ENSMUSG00000063052.9"	"Lrrc40"	chr3	+	158041585	158041659	158041862	158041933	158040440	158040622	158043560	158043690
98	"ENSMUSG00000063052.9"	"Lrrc40"	chr3	+	158041619	158041659	158041862	158041933	158040440	158040622	158043560	158043690
99	"ENSMUSG00000049676.14"	"Catsperg1"	chr7	-	29198348	29198408	29200116	29200254	29198112	29198220	29202263	29202435
100	"ENSMUSG00000049676.14"	"Catsperg1"	chr7	-	29200116	29200254	29202263	29202435	29198348	29198408	29206804	29206949
101	"ENSMUSG00000044712.15"	"Slc38a6"	chr12	+	73293698	73293799	73310144	73310197	73292159	73292233	73318976	73319016
102	"ENSMUSG00000004633.17"	"Chn2"	chr6	+	54290266	54290440	54293037	54293115	54286093	54286178	54298044	54298150
103	"ENSMUSG00000004633.17"	"Chn2"	chr6	+	54293037	54293115	54298044	54298150	54290266	54290440	54300072	54300244
104	"ENSMUSG00000018372.13"	"Cep95"	chr11	+	106801462	106801578	106804992	106805121	106800043	106800143	106806235	106806429
105	"ENSMUSG00000052508.10"	"Olfr536"	chr7	-	140506798	140506848	140506942	140507097	140506237	140506307	140507281	140507396
106	"ENSMUSG00000053119.11"	"Chmp3"	chr6	+	71574114	71574236	71577730	71577845	71560896	71561076	71579640	71579836
107	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98747479	98747522	98752777	98752892	98746963	98747158	98756184	98756225
108	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98774244	98774319	98779107	98779267	98763822	98763978	98780047	98780280
109	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98774244	98774319	98779107	98779267	98763822	98763978	98783581	98783702
110	"ENSMUSG00000021012.16"	"Zc3h14"	chr12	+	98779107	98779267	98780047	98780280	98774244	98774319	98783581	98783702
111	"ENSMUSG00000020859.16"	"Spag9"	chr11	+	94079198	94079210	94080739	94080754	94071564	94071686	94081339	94081397
112	"ENSMUSG00000020594.14"	"Pum2"	chr12	+	8744614	8744743	8747156	8747294	8744336	8744466	8748110	8748236
113	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152422617	152422771	152427276	152428832	152420014	152420140	152446798	152446937
114	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152422617	152422771	152446798	152446937	152420014	152420140	152448778	152448926
115	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152427276	152428832	152446798	152446937	152420014	152420140	152448778	152448926
116	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152427276	152428832	152437737	152437890	152422617	152422771	152446798	152446937
117	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152427276	152428832	152446628	152446689	152422617	152422771	152446798	152446937
118	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152427276	152428832	152446798	152446937	152422617	152422771	152448778	152448926
119	"ENSMUSG00000039068.16"	"Zzz3"	chr3	+	152437737	152437890	152446628	152446689	152422617	152422771	152446798	152446937
120	"ENSMUSG00000028587.18"	"Orc1"	chr4	+	108603387	108603489	108603964	108604136	108601955	108602053	108604499	108604607
121	"ENSMUSG00000052406.14"	"Rexo4"	chr2	-	26958478	26958567	26960223	26960417	26955494	26955569	26960602	26960740
122	"ENSMUSG00000055897.13"	"Ppp4r1l-ps"	chr2	-	173590365	173590460	173592116	173592221	173589787	173589948	173592801	173593014
123	"ENSMUSG00000026131.18"	"Dst"	chr1	+	34295665	34295683	34296741	34296759	34295461	34295536	34299720	34299838
124	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57698489	57698588	57709450	57710143	57689522	57689544	57757600	57757683
125	"ENSMUSG00000026566.15"	"Mpzl1"	chr1	-	165601749	165601855	165604609	165604742	165592239	165593677	165605608	165605822
126	"ENSMUSG00000030852.17"	"Tacc2"	chr7	+	130663015	130663141	130674601	130674739	130601836	130601937	130716702	130716839
127	"ENSMUSG00000031078.15"	"Cttn"	chr7	-	144449936	144450021	144450977	144451088	144449559	144449615	144452026	144452137
128	"ENSMUSG00000020409.10"	"Slu7"	chr11	+	43435053	43435211	43436353	43436432	43433743	43433819	43437344	43437530
129	"ENSMUSG00000003500.13"	"Impdh1"	chr6	-	29206305	29206512	29206922	29206997	29206065	29206153	29207094	29207196
130	"ENSMUSG00000037669.15"	"Ldah"	chr12	+	8227219	8227363	8238442	8238615	8220599	8220755	8268363	8268598
131	"ENSMUSG00000075316.11"	"Scn9a"	chr2	-	66563335	66563427	66563539	66563631	66562345	66562558	66565102	66565231
132	"ENSMUSG00000033257.14"	"Ttll4"	chr1	+	74672843	74673010	74678897	74678931	74661749	74661889	74680353	74680463
133	"ENSMUSG00000033257.14"	"Ttll4"	chr1	+	74687203	74687395	74687477	74687560	74686316	74686393	74687722	74687851
134	"ENSMUSG00000027953.13"	"Slc50a1"	chr3	-	89269049	89269211	89269826	89269950	89268672	89268792	89270061	89270139
135	"ENSMUSG00000005625.15"	"Psmd4"	chr3	-	95034941	95035010	95035237	95035324	95034565	95034781	95035809	95035924
136	"ENSMUSG00000031392.18"	"Irak1"	chrX	-	74018129	74018366	74019899	74019965	74017129	74017430	74020327	74020535
137	"ENSMUSG00000031392.18"	"Irak1"	chrX	-	74018129	74018366	74019899	74019965	74017129	74017511	74020327	74020535
138	"ENSMUSG00000015968.17"	"Cacna1d"	chr14	-	30089295	30089379	30089821	30089905	30082951	30082996	30095317	30095428
139	"ENSMUSG00000015968.17"	"Cacna1d"	chr14	-	30171295	30171399	30171955	30172059	30142547	30142717	30178544	30178741
140	"ENSMUSG00000041607.16"	"Mbp"	chr18	+	82575600	82575633	82578935	82579058	82575171	82575207	82584111	82585637
141	"ENSMUSG00000033768.16"	"Nrxn2"	chr19	+	6443630	6443648	6448254	6448284	6427804	6428778	6450527	6450599
142	"ENSMUSG00000033768.16"	"Nrxn2"	chr19	+	6443630	6443648	6448254	6448284	6427804	6428778	6454978	6455280
143	"ENSMUSG00000033768.16"	"Nrxn2"	chr19	+	6448254	6448284	6450527	6450599	6443630	6443648	6454978	6455280
144	"ENSMUSG00000031922.12"	"Cep57"	chr9	-	13810626	13810862	13812632	13812710	13809859	13810004	13813409	13813520
145	"ENSMUSG00000024843.15"	"Chka"	chr19	+	3875734	3875788	3882009	3882120	3864647	3864759	3884471	3884585
146	"ENSMUSG00000032076.19"	"Cadm1"	chr9	+	47818733	47818817	47829376	47829409	47813772	47813945	47848166	47848298
147	"ENSMUSG00000071337.11"	"Tia1"	chr6	+	86419100	86419133	86419693	86419812	86418877	86418932	86420323	86420411
148	"ENSMUSG00000007739.10"	"Cct4"	chr11	+	22994297	22994387	22995929	22996038	22993266	22993319	22996314	22996457
149	"ENSMUSG00000033335.17"	"Dnm2"	chr9	+	21478898	21479037	21480406	21480545	21478280	21478348	21481332	21481419
150	"ENSMUSG00000033335.17"	"Dnm2"	chr9	+	21489909	21489921	21490657	21490669	21489742	21489794	21494503	21494617
151	"ENSMUSG00000023010.15"	"Tmbim6"	chr15	+	99393694	99393730	99399656	99399871	99392985	99393040	99401579	99401663
152	"ENSMUSG00000029922.15"	"Mkrn1"	chr6	-	39401209	39401424	39404647	39404874	39400394	39400505	39405730	39405960
153	"ENSMUSG00000025958.14"	"Creb1"	chr1	+	64559726	64559768	64561752	64561865	64558502	64558649	64566216	64566317
154	"ENSMUSG00000027200.17"	"Sema6d"	chr2	+	124660704	124660761	124662203	124662371	124660282	124660344	124664020	124667769
155	"ENSMUSG00000019302.16"	"Atp6v0a1"	chr11	+	101049458	101049476	101054830	101054848	101048417	101048525	101055025	101055143
156	"ENSMUSG00000038187.14"	"Btbd10"	chr7	-	113351780	113351938	113364904	113364969	113335321	113335518	113368871	113368958
157	"ENSMUSG00000039703.15"	"Nploc4"	chr11	-	120385769	120385865	120389367	120389439	120384542	120384659	120404205	120404366
158	"ENSMUSG00000020326.7"	"Ccng1"	chr11	-	40751439	40751518	40752103	40752357	40751260	40751359	40753807	40754068
159	"ENSMUSG00000043635.12"	"Adamts3"	chr5	-	89694749	89694830	89696002	89696086	89693038	89693202	89698203	89698327
160	"ENSMUSG00000018796.13"	"Acsl1"	chr8	+	46521267	46521345	46521409	46521487	46518960	46519034	46524942	46525077
161	"ENSMUSG00000019927.6"	"Ube2d1"	chr10	-	71258200	71258306	71259741	71259819	71256614	71256708	71262083	71262115
162	"ENSMUSG00000056234.15"	"Ncoa4"	chr14	+	32166235	32166270	32166627	32166719	32165791	32165822	32170747	32170902
163	"ENSMUSG00000045103.17"	"Dmd"	chrX	+	85053970	85054032	85089816	85089891	85048318	85048459	85105143	85105345
164	"ENSMUSG00000003868.14"	"Ruvbl2"	chr7	-	45428478	45428545	45428652	45428782	45425143	45425250	45429453	45429595
165	"ENSMUSG00000046707.9"	"Csnk2a2"	chr8	-	95461545	95461629	95465650	95465710	95460677	95460788	95473370	95473421
166	"ENSMUSG00000046707.9"	"Csnk2a2"	chr8	-	95465650	95465710	95473370	95473421	95461545	95461629	95477211	95477313
167	"ENSMUSG00000029165.16"	"Agbl5"	chr5	+	30905017	30905155	30905630	30905761	30904702	30904815	30906115	30906666
168	"ENSMUSG00000029165.16"	"Agbl5"	chr5	+	30905108	30905155	30905630	30905761	30904702	30904815	30906115	30906666
169	"ENSMUSG00000020836.15"	"Coro6"	chr11	+	77467223	77467343	77467749	77467869	77466417	77466599	77468265	77468370
170	"ENSMUSG00000045100.11"	"Slc25a26"	chr6	+	94576333	94576378	94592411	94592481	94535720	94535768	94598379	94598444
171	"ENSMUSG00000037373.12"	"Ctbp1"	chr5	-	33259137	33259344	33261008	33261153	33250857	33251072	33266882	33267037
172	"ENSMUSG00000037373.12"	"Ctbp1"	chr5	-	33261008	33261153	33269441	33269634	33259137	33259344	33274778	33274992
173	"ENSMUSG00000020949.9"	"Fkbp3"	chr12	-	65065736	65065804	65069001	65069109	65063677	65063775	65069950	65070052
174	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59266387	59266500	59160849	59161128	59289217	59289252
175	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59289217	59289252	59160849	59161128	59305065	59305197
176	"ENSMUSG00000026991.20"	"Pkp4"	chr2	+	59214677	59214814	59266387	59266500	59161019	59161128	59305065	59305134
177	"ENSMUSG00000060261.15"	"Gtf2i"	chr5	-	134274538	134274595	134279436	134279514	134266542	134266656	134282786	134282830
178	"ENSMUSG00000020333.17"	"Acsl6"	chr11	+	54336935	54337013	54337070	54337148	54335051	54335125	54338411	54338546
179	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74283931	74284017	74288018	74288099	74283647	74283693	74288177	74288219
180	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288661	74288714	74288928	74289019	74288450	74288513	74289104	74289182
181	"ENSMUSG00000060275.12"	"Nrg2"	chr18	-	36031882	36031941	36032335	36032412	36024305	36024408	36038230	36038351
182	"ENSMUSG00000061689.15"	"Dlgap4"	chr2	+	156748022	156748102	156748331	156748403	156745834	156746196	156748943	156749356
183	"ENSMUSG00000061689.15"	"Dlgap4"	chr2	+	156748022	156748102	156748331	156748420	156745834	156746196	156748943	156749356
184	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6788569	6789158	6823805	6823913	6758592	6758690	6828884	6829237
185	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6788569	6789158	6825114	6825263	6758592	6758690	6828884	6829237
186	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6788743	6789158	6823805	6823913	6758592	6758690	6828884	6829237
187	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6788743	6789158	6825114	6825263	6758592	6758690	6828884	6829237
188	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6823805	6823913	6825114	6825263	6758592	6758690	6828884	6829237
189	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6849805	6850107	6907874	6908061	6829976	6830497	6972198	6972318
190	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6849805	6850107	6932966	6933367	6829976	6830497	6972198	6972318
191	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6849805	6850107	6933071	6933367	6829976	6830497	6972198	6972318
192	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6907874	6908061	6932966	6933367	6829976	6830497	6972198	6972318
193	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6907874	6908061	6933071	6933367	6829976	6830497	6972198	6972318
194	"ENSMUSG00000000766.18"	"Oprm1"	chr10	+	6932966	6933367	6972198	6972318	6829976	6830497	6979615	6979704
195	"ENSMUSG00000027715.9"	"Ccna2"	chr3	-	36566540	36566674	36566999	36567113	36564864	36566282	36567723	36567931
196	"ENSMUSG00000005674.9"	"Tomm40l"	chr1	-	171220804	171220906	171221167	171221260	171220546	171220652	171221571	171221639
197	"ENSMUSG00000028464.16"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297
198	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116501191	116501317	116517316	116517383	116499341	116499466	116527826	116527949
199	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116507040	116507188	116517316	116517383	116504034	116504114	116527826	116527949
200	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116507040	116507188	116517316	116517383	116504034	116504114	116549032	116549175
201	"ENSMUSG00000020166.15"	"Cnot2"	chr10	-	116517316	116517383	116527826	116527949	116501191	116501317	116549032	116549175
202	"ENSMUSG00000062270.13"	"Morf4l1"	chr9	-	90100442	90100523	90102299	90102386	90097863	90097889	90107234	90107302
203	"ENSMUSG00000060579.13"	"Fhit"	chr14	-	10729724	10729795	11009890	11009956	10421494	10421613	11125546	11125595
204	"ENSMUSG00000057897.14"	"Camk2b"	chr11	-	5981069	5981114	5982500	5982572	5979672	5979721	5982720	5982758
205	"ENSMUSG00000105053.1"	"RP24-180F7.1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461
206	"ENSMUSG00000000958.10"	"Slc7a7"	chr14	-	54378995	54379121	54408502	54409048	54377765	54377910	54416588	54416770
207	"ENSMUSG00000029554.15"	"Mad1l1"	chr5	-	140117236	140117325	140143919	140144060	140088629	140088837	140193913	140194058
208	"ENSMUSG00000030704.14"	"Rab6a"	chr7	+	100629665	100629771	100629837	100629943	100628403	100628457	100631741	100631853
209	"ENSMUSG00000050199.13"	"Lgr4"	chr2	+	109970691	109970763	109989704	109989776	109917646	109918305	109991103	109991175
210	"ENSMUSG00000021432.15"	"Slc35b3"	chr13	-	38944499	38944654	38954108	38954230	38943058	38943166	38955820	38955936
211	"ENSMUSG00000028218.19"	"Fam92a"	chr4	-	12164268	12164274	12165765	12165771	12164087	12164192	12168222	12168324
212	"ENSMUSG00000057363.12"	"Uxs1"	chr1	-	43780064	43780169	43790463	43790550	43774816	43774876	43797244	43797305
213	"ENSMUSG00000057363.12"	"Uxs1"	chr1	-	43780064	43780169	43790463	43790644	43774816	43774876	43797244	43797305
214	"ENSMUSG00000005871.14"	"Apc"	chr18	+	34279268	34279352	34289837	34289942	34276563	34276677	34296030	34296129
