ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
319	"ENSMUSG00000020877.11"	"Scrn2"	chr11	+	97032754	97033229	97032754	97032970	97033063	97033229
326	"ENSMUSG00000029246.14"	"Ppat"	chr5	-	76919370	76919907	76919370	76919498	76919755	76919907
343	"ENSMUSG00000109378.1"	"RP24-471H15.8"	chr7	+	30566748	30567500	30566748	30566936	30567142	30567500
352	"ENSMUSG00000021363.14"	"Mak"	chr13	-	41042018	41046330	41042018	41042185	41046018	41046330
353	"ENSMUSG00000024911.6"	"Fibp"	chr19	+	5463786	5464215	5463786	5463850	5464128	5464215
363	"ENSMUSG00000026571.12"	"Dcaf6"	chr1	-	165338187	165340023	165338187	165338344	165339884	165340023
381	"ENSMUSG00000033581.16"	"Igf2bp2"	chr16	-	22063581	22065167	22063581	22063713	22065092	22065167
384	"ENSMUSG00000030852.17"	"Tacc2"	chr7	+	130728522	130729828	130728522	130728749	130728859	130729828
399	"ENSMUSG00000033257.14"	"Ttll4"	chr1	+	74678897	74680463	74678897	74678931	74680353	74680463
403	"ENSMUSG00000005625.15"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033908	95034026
404	"ENSMUSG00000005625.15"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033917	95034026
411	"ENSMUSG00000021957.7"	"Tkt"	chr14	+	30568163	30569139	30568163	30568357	30568974	30569139
437	"ENSMUSG00000095567.7"	"Noc2l"	chr4	+	156237342	156237728	156237342	156237517	156237599	156237728
475	"ENSMUSG00000070284.10"	"Gmppb"	chr9	+	108050848	108051242	108050848	108050976	108051059	108051242
487	"ENSMUSG00000032295.15"	"Man2c1"	chr9	+	57139499	57139964	57139499	57139708	57139869	57139964
496	"ENSMUSG00000015291.10"	"Gdi1"	chrX	+	74307671	74308261	74307671	74307870	74308129	74308261
497	"ENSMUSG00000015291.10"	"Gdi1"	chrX	+	74309075	74310134	74309075	74309175	74309962	74310134
525	"ENSMUSG00000034807.9"	"Colgalt1"	chr8	+	71621763	71622830	71621763	71621896	71622702	71622830
532	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288447	74288513
533	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288450	74288513
566	"ENSMUSG00000038502.16"	"Ptov1"	chr7	-	44864761	44865002	44864761	44864835	44864912	44865002
643	"ENSMUSG00000020184.15"	"Mdm2"	chr10	-	117694904	117696439	117694904	117695068	117696380	117696439
658	"ENSMUSG00000021115.15"	"Vrk1"	chr12	+	106070524	106071641	106070524	106070615	106071569	106071641
687	"ENSMUSG00000053877.12"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832
689	"ENSMUSG00000000738.18"	"Spg7"	chr8	+	123079413	123080810	123079413	123079539	123080636	123080810
691	"ENSMUSG00000038671.15"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364096	181364310	181364398
692	"ENSMUSG00000038671.15"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364195	181364310	181364398
710	"ENSMUSG00000026277.13"	"Stk25"	chr1	-	93626050	93627133	93626050	93626208	93627024	93627133
733	"ENSMUSG00000072980.3"	"Oip5"	chr2	-	119617853	119618469	119617853	119617920	119618157	119618469
734	"ENSMUSG00000023007.15"	"Prpf40b"	chr15	+	99304424	99305433	99304424	99304490	99305407	99305433
759	"ENSMUSG00000042156.16"	"Dzip1"	chr14	-	118899985	118901549	118899985	118900042	118901500	118901549
789	"ENSMUSG00000036459.15"	"Wtip"	chr7	-	34118936	34119206	34118936	34118999	34119138	34119206
794	"ENSMUSG00000030727.12"	"Rabep2"	chr7	+	126444522	126444936	126444522	126444578	126444819	126444936
846	"ENSMUSG00000026201.12"	"Stk16"	chr1	+	75212599	75213006	75212599	75212733	75212885	75213006
877	"ENSMUSG00000027247.16"	"Arhgap1"	chr2	+	91669384	91669729	91669384	91669461	91669651	91669729
879	"ENSMUSG00000031819.13"	"Emc8"	chr8	-	120658527	120659074	120658527	120658622	120659004	120659074
888	"ENSMUSG00000030894.5"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751589	105751729
901	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4125959	4126200	4125959	4126040	4126041	4126200
902	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127549	4127836	4127549	4127639	4127759	4127836
972	"ENSMUSG00000034796.14"	"Cpne7"	chr8	+	123126632	123127439	123126632	123126734	123127352	123127439
986	"ENSMUSG00000078671.11"	"Chd2"	chr7	-	73441585	73441799	73441585	73441679	73441768	73441799
993	"ENSMUSG00000034171.13"	"Faah"	chr4	-	116000048	116000827	116000048	116000088	116000786	116000827
1005	"ENSMUSG00000023495.13"	"Pcbp4"	chr9	+	106462188	106462414	106462188	106462252	106462342	106462414
1006	"ENSMUSG00000023495.13"	"Pcbp4"	chr9	+	106462188	106462414	106462188	106462252	106462361	106462414
1024	"ENSMUSG00000027968.11"	"Larp7"	chr3	-	127546046	127546569	127546046	127546403	127546475	127546569
1025	"ENSMUSG00000027968.11"	"Larp7"	chr3	-	127546920	127547190	127546920	127547004	127547089	127547190
1026	"ENSMUSG00000038214.15"	"Bend3"	chr10	+	43509846	43515396	43509846	43513816	43513962	43515396
1075	"ENSMUSG00000021493.15"	"Pdlim7"	chr13	-	55507329	55507624	55507329	55507366	55507487	55507624
1078	"ENSMUSG00000029674.13"	"Limk1"	chr5	-	134661388	134661858	134661388	134661553	134661792	134661858
1136	"ENSMUSG00000056394.17"	"Lig1"	chr7	+	13305909	13306055	13305909	13305924	13305925	13306055
1189	"ENSMUSG00000020741.17"	"Cluh"	chr11	+	74665006	74665426	74665006	74665069	74665181	74665426
1213	"ENSMUSG00000001909.15"	"Trmt1"	chr8	+	84690516	84690947	84690516	84690572	84690772	84690947
1214	"ENSMUSG00000001909.15"	"Trmt1"	chr8	+	84690516	84690947	84690516	84690572	84690784	84690947
1215	"ENSMUSG00000001909.15"	"Trmt1"	chr8	+	84690516	84690947	84690516	84690572	84690801	84690947
1216	"ENSMUSG00000001909.15"	"Trmt1"	chr8	+	84690516	84690947	84690516	84690572	84690810	84690947
1217	"ENSMUSG00000001909.15"	"Trmt1"	chr8	+	84695427	84696975	84695427	84695540	84696826	84696975
1228	"ENSMUSG00000041939.14"	"Mvk"	chr5	+	114445387	114446306	114445387	114445479	114446158	114446306
1232	"ENSMUSG00000037353.9"	"Letmd1"	chr15	+	100475501	100476886	100475501	100475654	100476789	100476886
1282	"ENSMUSG00000054099.11"	"Slc25a40"	chr5	+	8440720	8442571	8440720	8440788	8442446	8442571
1306	"ENSMUSG00000007029.16"	"Vars"	chr17	+	35013121	35013390	35013121	35013192	35013264	35013390
1308	"ENSMUSG00000025144.17"	"Stra13"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895
1322	"ENSMUSG00000029267.17"	"Mtf2"	chr5	+	108080824	108081023	108080824	108080841	108080921	108081023
1340	"ENSMUSG00000019518.10"	"Ap4m1"	chr5	+	138176051	138176263	138176051	138176118	138176209	138176263
1358	"ENSMUSG00000021488.8"	"Nsd1"	chr13	+	55213203	55214150	55213203	55213317	55214060	55214150
1365	"ENSMUSG00000031708.16"	"Tecr"	chr8	-	83572840	83573323	83572840	83572946	83573027	83573323
1366	"ENSMUSG00000031708.16"	"Tecr"	chr8	-	83572840	83573323	83572840	83572946	83573219	83573323
1367	"ENSMUSG00000031708.16"	"Tecr"	chr8	-	83573027	83573323	83573027	83573143	83573219	83573323
1386	"ENSMUSG00000032299.10"	"Commd4"	chr9	-	57156171	57156555	57156171	57156291	57156515	57156555
1403	"ENSMUSG00000049606.16"	"Zfp644"	chr5	-	106635609	106638635	106635609	106636323	106636416	106638635
1433	"ENSMUSG00000030591.17"	"Psmd8"	chr7	-	29174187	29175522	29174187	29174747	29175410	29175522
1435	"ENSMUSG00000024948.14"	"Map4k2"	chr19	+	6343801	6344079	6343801	6343883	6343971	6344079
1450	"ENSMUSG00000021901.10"	"Bap1"	chr14	+	31256660	31257767	31256660	31256791	31257288	31257767
1451	"ENSMUSG00000021901.10"	"Bap1"	chr14	+	31256660	31257767	31256660	31256791	31257625	31257767
1461	"ENSMUSG00000034156.16"	"Bzrap1"	chr11	+	87781681	87782049	87781681	87781753	87781944	87782049
1516	"ENSMUSG00000028034.15"	"Fubp1"	chr3	+	152231876	152234570	152231876	152232022	152232394	152234570
1517	"ENSMUSG00000028034.15"	"Fubp1"	chr3	+	152231876	152234570	152231876	152232022	152234523	152234570
1522	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035751	161036014	161035751	161035804	161035982	161036014
1523	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161036244	161035982	161036014	161036207	161036244
1524	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036207	161036579	161036207	161036244	161036548	161036579
1525	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036014	161036819	161037315
1526	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036244	161036819	161037315
1527	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036819	161037164	161036819	161036852	161037123	161037164
1528	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036819	161037315	161036819	161036852	161037287	161037315
1529	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161036819	161037315	161036819	161037164	161037287	161037315
1530	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161037287	161037547	161037287	161037315	161037504	161037547
1556	"ENSMUSG00000013858.14"	"Tmem259"	chr10	-	79977962	79978320	79977962	79978062	79978187	79978320
1578	"ENSMUSG00000038619.12"	"Ensa"	chr3	+	95628540	95632102	95628540	95628707	95631431	95632102
1581	"ENSMUSG00000017843.14"	"Ppp2r5c"	chr12	+	110567727	110569055	110567727	110567855	110568953	110569055
1597	"ENSMUSG00000040146.9"	"Rgl3"	chr9	-	21976738	21976977	21976738	21976860	21976944	21976977
1609	"ENSMUSG00000022620.14"	"Arsa"	chr15	-	89474539	89475005	89474539	89474709	89474786	89475005
1612	"ENSMUSG00000026193.15"	"Fn1"	chr1	-	71597280	71597747	71597280	71597387	71597641	71597747
1613	"ENSMUSG00000026193.15"	"Fn1"	chr1	-	71597280	71598463	71597280	71597387	71598373	71598463
1614	"ENSMUSG00000026193.15"	"Fn1"	chr1	-	71597280	71598463	71597280	71597672	71598373	71598463
1615	"ENSMUSG00000026193.15"	"Fn1"	chr1	-	71597280	71598463	71597280	71597747	71598373	71598463
1636	"ENSMUSG00000022503.10"	"Nubp1"	chr16	+	10419652	10421128	10419652	10419685	10420973	10421128
1677	"ENSMUSG00000028826.14"	"Tmem57"	chr4	-	134802758	134806691	134802758	134804564	134806516	134806691
1682	"ENSMUSG00000029283.17"	"Cdc7"	chr5	+	106974600	106975660	106974600	106974696	106975484	106975660
1767	"ENSMUSG00000041264.16"	"Uspl1"	chr5	+	149213351	149215434	149213351	149213522	149214022	149215434
1817	"ENSMUSG00000026869.12"	"Psmd5"	chr2	-	34865526	34866095	34865526	34865655	34865981	34866095
1821	"ENSMUSG00000022995.16"	"Enah"	chr1	-	181919324	181919629	181919324	181919456	181919558	181919629
1833	"ENSMUSG00000062908.12"	"Acadm"	chr3	-	153938896	153939167	153938896	153938966	153939069	153939167
1836	"ENSMUSG00000025366.8"	"Esyt1"	chr10	-	128515685	128515936	128515685	128515772	128515864	128515936
1837	"ENSMUSG00000008682.13"	"Rpl10"	chrX	+	74271659	74271907	74271659	74271718	74271799	74271907
1852	"ENSMUSG00000030763.7"	"Lcmt1"	chr7	+	123421537	123422798	123421537	123421639	123422706	123422798
1863	"ENSMUSG00000020516.15"	"Rps6kb1"	chr11	-	86511588	86511887	86511588	86511666	86511824	86511887
1882	"ENSMUSG00000025494.8"	"Sigirr"	chr7	-	141092977	141093330	141092977	141093118	141093199	141093330
1883	"ENSMUSG00000008167.14"	"Fbxw9"	chr8	+	85064383	85064672	85064383	85064496	85064580	85064672
1904	"ENSMUSG00000046364.14"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993
1934	"ENSMUSG00000063870.12"	"Chd4"	chr6	+	125120204	125120556	125120204	125120385	125120469	125120556
1954	"ENSMUSG00000026873.9"	"Phf19"	chr2	-	34911163	34911802	34911163	34911245	34911616	34911802
1958	"ENSMUSG00000017405.14"	"Nek8"	chr11	-	78170612	78171298	78170612	78170794	78170872	78171298
1959	"ENSMUSG00000017405.14"	"Nek8"	chr11	-	78170872	78171298	78170872	78170952	78171089	78171298
1966	"ENSMUSG00000075376.10"	"Rc3h2"	chr2	-	37389584	37389890	37389584	37389774	37389856	37389890
1974	"ENSMUSG00000020463.15"	"Ppp4r3b"	chr11	+	29218455	29220797	29218455	29218685	29220543	29220797
1989	"ENSMUSG00000094152.5"	"Slc6a16"	chr7	+	45268447	45268932	45268447	45268649	45268772	45268932
1994	"ENSMUSG00000033799.10"	"Fam208b"	chr13	-	3599938	3600334	3599938	3600062	3600191	3600334
2001	"ENSMUSG00000029034.9"	"Ints11"	chr4	+	155885564	155886156	155885564	155885703	155886091	155886156
2021	"ENSMUSG00000062647.16"	"Rpl7a"	chr2	+	26912670	26913057	26912670	26912801	26912987	26913057
2053	"ENSMUSG00000040860.16"	"Crocc"	chr4	-	141019707	141020489	141019707	141019932	141020273	141020489
2097	"ENSMUSG00000034863.9"	"Ano8"	chr8	-	71480435	71482188	71480435	71481242	71482132	71482188
2098	"ENSMUSG00000026199.17"	"Ankzf1"	chr1	+	75194840	75195712	75194840	75194943	75195062	75195712
2149	"ENSMUSG00000040701.16"	"Ap1g2"	chr14	-	55101070	55101522	55101070	55101175	55101394	55101522
2172	"ENSMUSG00000020832.14"	"Eral1"	chr11	-	78074279	78074627	78074279	78074360	78074477	78074627
2176	"ENSMUSG00000004561.14"	"Mettl17"	chr14	+	51885150	51885522	51885150	51885304	51885387	51885522
2177	"ENSMUSG00000004561.14"	"Mettl17"	chr14	+	51885150	51885522	51885150	51885304	51885403	51885522
2181	"ENSMUSG00000026107.11"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477721	51478399
2182	"ENSMUSG00000026107.11"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477824	51478399
2183	"ENSMUSG00000026107.11"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478300	51478399
2184	"ENSMUSG00000026107.11"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478371	51478399
2195	"ENSMUSG00000071657.12"	"Bscl2"	chr19	+	8840534	8843090	8840534	8841424	8843008	8843090
2234	"ENSMUSG00000052926.16"	"Rnaseh2a"	chr8	-	84965130	84965443	84965130	84965218	84965316	84965443
2235	"ENSMUSG00000052926.16"	"Rnaseh2a"	chr8	-	84965859	84966287	84965859	84965993	84966085	84966287
2248	"ENSMUSG00000028678.13"	"Kif2c"	chr4	-	117177920	117178246	117177920	117177969	117178144	117178246
2250	"ENSMUSG00000033364.13"	"Usp37"	chr1	-	74468266	74470727	74468266	74468384	74470536	74470727
2277	"ENSMUSG00000002963.17"	"Pnkp"	chr7	+	44859722	44859945	44859722	44859802	44859887	44859945
2285	"ENSMUSG00000004815.12"	"Dgkq"	chr5	-	108649824	108650379	108649824	108649925	108650200	108650379
2348	"ENSMUSG00000031835.16"	"Mbtps1"	chr8	-	119538843	119541694	119538843	119538960	119541584	119541694
2350	"ENSMUSG00000030795.18"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920
2377	"ENSMUSG00000032590.14"	"Apeh"	chr9	-	108092806	108093074	108092806	108092882	108092980	108093074
2385	"ENSMUSG00000090626.9"	"Tex9"	chr9	-	72479923	72480775	72479923	72480001	72480596	72480775
2403	"ENSMUSG00000018920.11"	"Cxcl16"	chr11	-	70458744	70459167	70458744	70458827	70459028	70459167
2406	"ENSMUSG00000002820.6"	"Atg4d"	chr9	+	21268250	21268669	21268250	21268527	21268604	21268669
2424	"ENSMUSG00000007783.10"	"Cpt1c"	chr7	-	44965083	44965566	44965083	44965266	44965370	44965566
2439	"ENSMUSG00000020898.18"	"Ctc1"	chr11	+	69021029	69022614	69021029	69021115	69022376	69022614
2440	"ENSMUSG00000020898.18"	"Ctc1"	chr11	+	69021029	69022614	69021029	69021193	69022376	69022614
2441	"ENSMUSG00000020898.18"	"Ctc1"	chr11	+	69021029	69022614	69021029	69021193	69022392	69022614
2474	"ENSMUSG00000039244.10"	"AC123686.4"	chr5	-	143311710	143314399	143311710	143311876	143314177	143314399
2491	"ENSMUSG00000028809.16"	"Srrm1"	chr4	-	135344498	135346857	135344498	135344669	135346734	135346857
2551	"ENSMUSG00000033918.15"	"Parl"	chr16	-	20285764	20287069	20285764	20285835	20286919	20287069
2588	"ENSMUSG00000026791.14"	"Slc2a8"	chr2	-	32981360	32981883	32981360	32981567	32981720	32981883
2597	"ENSMUSG00000032399.8"	"Rpl4"	chr9	+	64175193	64175722	64175193	64175300	64175583	64175722
2621	"ENSMUSG00000026927.17"	"Sdccag3"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063
2650	"ENSMUSG00000024118.13"	"RP23-35F19.3"	chr17	-	24219730	24220310	24219730	24220133	24220251	24220310
2669	"ENSMUSG00000040746.15"	"Rnf167"	chr11	+	70649674	70650017	70649674	70649765	70649911	70650017
2670	"ENSMUSG00000040746.15"	"Rnf167"	chr11	+	70649674	70650219	70649674	70650017	70650125	70650219
2682	"ENSMUSG00000020250.10"	"Txnrd1"	chr10	+	82879205	82879865	82879205	82879348	82879749	82879865
2695	"ENSMUSG00000057335.11"	"Cep170"	chr1	-	176769232	176769870	176769232	176769526	176769712	176769870
2700	"ENSMUSG00000030057.15"	"Cnbp"	chr6	-	87845121	87845557	87845121	87845320	87845464	87845557
2701	"ENSMUSG00000030057.15"	"Cnbp"	chr6	-	87845121	87845557	87845121	87845323	87845464	87845557
2706	"ENSMUSG00000029472.13"	"Anapc5"	chr5	-	122799338	122800593	122799338	122799474	122800450	122800593
2711	"ENSMUSG00000026803.17"	"Ttf1"	chr2	+	29069891	29071376	29069891	29070077	29071297	29071376
2725	"ENSMUSG00000038930.11"	"Rccd1"	chr7	-	80320091	80321181	80320091	80320213	80320301	80321181
2764	"ENSMUSG00000024104.11"	"Washc2"	chr6	+	116254089	116255168	116254089	116254218	116255048	116255168
2788	"ENSMUSG00000020745.15"	"Pafah1b1"	chr11	-	74673948	74679614	74673948	74677742	74679457	74679614
2789	"ENSMUSG00000020745.15"	"Pafah1b1"	chr11	-	74684405	74686064	74684405	74684508	74685895	74686064
2826	"ENSMUSG00000054021.6"	"Sirt5"	chr13	+	43385497	43387656	43385497	43385613	43387049	43387656
2830	"ENSMUSG00000031634.13"	"Ufsp2"	chr8	+	45980314	45980639	45980314	45980467	45980572	45980639
2831	"ENSMUSG00000031634.13"	"Ufsp2"	chr8	+	45980314	45980639	45980314	45980492	45980572	45980639
2866	"ENSMUSG00000009741.15"	"Ubp1"	chr9	+	113955962	113956813	113955962	113956068	113956706	113956813
2870	"ENSMUSG00000032842.13"	"Abcc10"	chr17	-	46323351	46324914	46323351	46323579	46323692	46324914
2925	"ENSMUSG00000040928.15"	"S100pbp"	chr4	-	129180188	129181840	129180188	129180271	129181741	129181840
2941	"ENSMUSG00000037720.16"	"Tmem33"	chr5	+	67260695	67261033	67260695	67260806	67260963	67261033
2942	"ENSMUSG00000037720.16"	"Tmem33"	chr5	+	67286095	67291461	67286095	67286216	67287009	67291461
2945	"ENSMUSG00000070436.12"	"Serpinh1"	chr7	-	99352881	99353114	99352881	99352965	99353052	99353114
2950	"ENSMUSG00000068882.13"	"Ssb"	chr2	+	69867271	69867552	69867271	69867379	69867451	69867552
2960	"ENSMUSG00000042472.11"	"Zfp410"	chr12	+	84332934	84334111	84332934	84333024	84333788	84334111
2963	"ENSMUSG00000022558.16"	"Mroh1"	chr15	+	76421139	76423835	76421139	76421213	76423715	76423835
2964	"ENSMUSG00000022558.16"	"Mroh1"	chr15	+	76427511	76428385	76427511	76427656	76428243	76428385
2969	"ENSMUSG00000038482.11"	"Tfdp1"	chr8	+	13370480	13371022	13370480	13370646	13370878	13371022
2986	"ENSMUSG00000022843.16"	"Clcn2"	chr16	-	20710271	20710639	20710271	20710427	20710554	20710639
2987	"ENSMUSG00000022843.16"	"Clcn2"	chr16	-	20712879	20713459	20712879	20713008	20713327	20713459
2990	"ENSMUSG00000018565.17"	"Elp5"	chr11	-	69979829	69980059	69979829	69979910	69979998	69980059
3049	"ENSMUSG00000001416.13"	"Cct3"	chr3	+	88321013	88321507	88321013	88321145	88321443	88321507
3073	"ENSMUSG00000027714.11"	"Exosc9"	chr3	+	36553805	36554142	36553805	36553925	36554039	36554142
3108	"ENSMUSG00000018068.13"	"Ints2"	chr11	-	86242912	86244629	86242912	86243038	86244402	86244629
3145	"ENSMUSG00000040463.16"	"Mybbp1a"	chr11	+	72447552	72447882	72447552	72447639	72447729	72447882
3181	"ENSMUSG00000022884.14"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851
3182	"ENSMUSG00000022884.14"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343
3183	"ENSMUSG00000022884.14"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
3221	"ENSMUSG00000031878.18"	"Nae1"	chr8	-	104527377	104530116	104527377	104527449	104530055	104530116
3238	"ENSMUSG00000038766.16"	"Gabpb2"	chr3	-	95203730	95204808	95203730	95203925	95204640	95204808
3264	"ENSMUSG00000008668.14"	"Rps18"	chr17	-	33952220	33952591	33952220	33952293	33952402	33952591
3265	"ENSMUSG00000008668.14"	"Rps18"	chr17	-	33952220	33952591	33952220	33952312	33952402	33952591
3281	"ENSMUSG00000029617.10"	"Ccz1"	chr5	-	143998162	143998605	143998162	143998274	143998543	143998605
3282	"ENSMUSG00000029617.10"	"Ccz1"	chr5	-	144011030	144011529	144011030	144011078	144011451	144011529
3306	"ENSMUSG00000025155.15"	"Dus1l"	chr11	-	120793027	120793946	120793027	120793110	120793833	120793946
3308	"ENSMUSG00000022536.14"	"Glyr1"	chr16	-	5029502	5030241	5029502	5029553	5030184	5030241
3310	"ENSMUSG00000031555.15"	"Adam9"	chr8	-	24962859	24963088	24962859	24962885	24962938	24963088
3346	"ENSMUSG00000024426.17"	"Atat1"	chr17	-	35908562	35908966	35908562	35908664	35908852	35908966
3375	"ENSMUSG00000032579.14"	"Hemk1"	chr9	-	107336571	107337378	107336571	107336663	107337000	107337378
3401	"ENSMUSG00000028102.15"	"Pex11b"	chr3	+	96643574	96644726	96643574	96644015	96644435	96644726
3404	"ENSMUSG00000004642.13"	"Slbp"	chr5	-	33645499	33646069	33645499	33645637	33646009	33646069
3408	"ENSMUSG00000040532.14"	"Abhd11"	chr5	+	135010886	135011380	135010886	135011060	135011209	135011380
3409	"ENSMUSG00000040532.14"	"Abhd11"	chr5	+	135010886	135011380	135010886	135011060	135011240	135011380
3410	"ENSMUSG00000040532.14"	"Abhd11"	chr5	+	135011483	135012170	135011483	135011665	135011886	135012170
3419	"ENSMUSG00000071866.12"	"Ppia"	chr11	+	6418100	6418314	6418100	6418131	6418225	6418314
3450	"ENSMUSG00000020818.16"	"Mfsd11"	chr11	+	116863905	116865956	116863905	116863946	116865890	116865956
3526	"ENSMUSG00000031889.9"	"AC124713.2"	chr8	+	105238422	105239750	105238422	105238466	105239670	105239750
3528	"ENSMUSG00000020111.15"	"Micu1"	chr10	+	59863178	59864130	59863178	59863574	59864059	59864130
3579	"ENSMUSG00000028700.14"	"Pomgnt1"	chr4	+	116155728	116156014	116155728	116155801	116155885	116156014
3585	"ENSMUSG00000010608.15"	"Rbm25"	chr12	+	83660594	83664259	83660594	83660678	83663978	83664259
3602	"ENSMUSG00000042185.14"	"Nfrkb"	chr9	+	31397719	31398644	31397719	31397793	31398559	31398644
3626	"ENSMUSG00000003808.18"	"Farsa"	chr8	+	84867548	84867918	84867548	84867648	84867749	84867918
3627	"ENSMUSG00000003808.18"	"Farsa"	chr8	+	84867548	84867918	84867548	84867648	84867752	84867918
3638	"ENSMUSG00000054708.17"	"Ankrd24"	chr10	+	81635687	81636426	81635687	81635752	81636368	81636426
3643	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100772822	100773409	100772822	100772959	100773264	100773409
3655	"ENSMUSG00000001918.17"	"Slc1a5"	chr7	+	16795757	16796158	16795757	16795952	16796023	16796158
3686	"ENSMUSG00000005506.16"	"Celf1"	chr2	+	91013237	91019497	91013237	91013402	91013490	91019497
3687	"ENSMUSG00000005506.16"	"Celf1"	chr2	+	91013237	91019497	91013237	91013402	91016565	91019497
3689	"ENSMUSG00000002395.14"	"Use1"	chr8	+	71367643	71367848	71367643	71367693	71367769	71367848
3690	"ENSMUSG00000002395.14"	"Use1"	chr8	+	71368849	71369303	71368849	71368877	71369131	71369303
