ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
80	"ENSMUSG00000006931.15"	"P3h4"	chr11	-	100411728	100411874	100411791	100411874	100411113	100411197
81	"ENSMUSG00000020758.15"	"Itgb4"	chr11	+	115989937	115990138	115989937	115990044	115990674	115990708
82	"ENSMUSG00000020758.15"	"Itgb4"	chr11	+	115997949	115998154	115997949	115998145	115999797	115999955
83	"ENSMUSG00000115644.1"	"Vmn1r17"	chr6	-	57363683	57363727	57363687	57363727	57359240	57361430
84	"ENSMUSG00000028199.18"	"Cryz"	chr3	+	154604891	154605115	154604891	154605015	154606378	154606531
85	"ENSMUSG00000031812.16"	"Map1lc3b"	chr8	+	121593489	121593650	121593489	121593545	121595985	121596092
86	"ENSMUSG00000033020.7"	"Polr2f"	chr15	+	79146052	79146183	79146052	79146138	79151335	79151407
87	"ENSMUSG00000038039.13"	"Gcc2"	chr10	+	58256819	58256904	58256819	58256896	58258240	58258308
88	"ENSMUSG00000035310.15"	"Lin54"	chr5	-	100485139	100485855	100485802	100485855	100480197	100480321
89	"ENSMUSG00000075095.5"	"Olfr1229"	chr2	-	89286858	89287157	89286988	89287157	89284540	89284673
90	"ENSMUSG00000056763.16"	"Cspp1"	chr1	+	10039772	10039887	10039772	10039879	10045075	10045184
91	"ENSMUSG00000056763.16"	"Cspp1"	chr1	+	10045075	10045193	10045075	10045184	10047423	10047526
92	"ENSMUSG00000056763.16"	"Cspp1"	chr1	+	10129985	10130085	10129985	10130032	10132453	10132517
93	"ENSMUSG00000074591.7"	"Ankub1"	chr3	-	57672783	57673000	57672865	57673000	57668423	57668538
94	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725781	8725924	8725781	8725826	8726066	8726102
95	"ENSMUSG00000056004.16"	"AC157555.1"	chr5	+	9410583	9410731	9410583	9410697	9417984	9418071
96	"ENSMUSG00000031099.16"	"Smarca1"	chrX	-	47887096	47887198	47887111	47887198	47884036	47884203
97	"ENSMUSG00000074419.11"	"AC161409.3"	chr7	-	3822083	3822386	3822089	3822386	3821523	3821826
98	"ENSMUSG00000062181.14"	"Ces3b"	chr8	+	105091510	105091658	105091510	105091584	105092604	105092754
99	"ENSMUSG00000052273.4"	"Dnah3"	chr7	-	120010841	120011113	120010871	120011113	120009326	120009427
100	"ENSMUSG00000052273.4"	"Dnah3"	chr7	-	120070902	120071095	120070906	120071095	120069627	120069704
101	"ENSMUSG00000020964.14"	"Sel1l"	chr12	-	91833054	91833222	91833204	91833222	91831568	91831674
102	"ENSMUSG00000030109.15"	"Slc6a12"	chr6	+	121347418	121347632	121347418	121347514	121351938	121352073
103	"ENSMUSG00000062234.14"	"Gak"	chr5	-	108591103	108591224	108591144	108591224	108585340	108585534
104	"ENSMUSG00000024446.13"	"Rpp21"	chr17	-	36257412	36257524	36257441	36257524	36255943	36256069
105	"ENSMUSG00000025758.10"	"Plk4"	chr3	+	40810276	40810381	40810276	40810300	40810661	40810764
106	"ENSMUSG00000042210.17"	"Abhd14a"	chr9	-	106443805	106443942	106443826	106443942	106440620	106440856
107	"ENSMUSG00000097589.9"	"Dleu2"	chr14	-	61648481	61648822	61648617	61648822	61643359	61643455
108	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116840409	116840545	116838989	116839128
109	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116839837	116840545	116840447	116840545	116838989	116839128
110	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116840409	116840545	116840447	116840545	116838989	116839128
111	"ENSMUSG00000056962.11"	"Jmjd6"	chr11	-	116840409	116840545	116840447	116840545	116839837	116839926
112	"ENSMUSG00000054892.14"	"Txk"	chr5	-	72735562	72735906	72735725	72735906	72735113	72735216
113	"ENSMUSG00000025915.14"	"Sgk3"	chr1	+	9868382	9868688	9868382	9868466	9871629	9871702
114	"ENSMUSG00000044976.17"	"Wdr72"	chr9	+	74148201	74148383	74148201	74148347	74148720	74148817
115	"ENSMUSG00000020454.17"	"Eif4enif1"	chr11	+	3229868	3230101	3229868	3230065	3233987	3234059
116	"ENSMUSG00000020454.17"	"Eif4enif1"	chr11	+	3229868	3230101	3229868	3230065	3234461	3234645
117	"ENSMUSG00000035234.18"	"Fam175a"	chr5	-	100809553	100809643	100809558	100809643	100806778	100806890
118	"ENSMUSG00000020288.13"	"Ahsa2"	chr11	-	23492137	23492306	23492217	23492306	23491474	23491582
119	"ENSMUSG00000020288.13"	"Ahsa2"	chr11	-	23496690	23496881	23496765	23496881	23494978	23495064
120	"ENSMUSG00000036553.16"	"Sh3tc1"	chr5	-	35714062	35714258	35714112	35714258	35710860	35710994
121	"ENSMUSG00000006589.8"	"Aprt"	chr8	-	122576118	122576621	122576514	122576621	122575401	122575535
122	"ENSMUSG00000064289.15"	"Tank"	chr2	+	61613650	61613798	61613650	61613715	61626905	61627014
123	"ENSMUSG00000006007.14"	"Pdc"	chr1	+	150319416	150319500	150319416	150319488	150328315	150328400
124	"ENSMUSG00000037563.15"	"Rps16"	chr7	+	28352176	28352410	28352176	28352273	28352493	28352696
125	"ENSMUSG00000021779.17"	"Thrb"	chr14	+	17826893	17826975	17826893	17826968	17925595	17925659
126	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125024032	125024552	125024032	125024270	125024745	125025082
127	"ENSMUSG00000038346.18"	"Zfp384"	chr6	+	125031670	125032612	125031670	125031853	125033239	125033318
128	"ENSMUSG00000034799.16"	"Unc13a"	chr8	-	71643091	71643175	71643094	71643175	71642128	71642206
129	"ENSMUSG00000034799.16"	"Unc13a"	chr8	-	71658002	71658111	71658023	71658111	71656254	71656301
130	"ENSMUSG00000034799.16"	"Unc13a"	chr8	-	71662839	71662928	71662854	71662928	71662480	71662535
131	"ENSMUSG00000004040.16"	"Stat3"	chr11	-	100893073	100893286	100893076	100893286	100889885	100889928
132	"ENSMUSG00000063511.11"	"Snrnp70"	chr7	-	45381824	45383184	45383124	45383184	45380716	45380818
133	"ENSMUSG00000063511.11"	"Snrnp70"	chr7	-	45392073	45392133	45392078	45392133	45387388	45387453
134	"ENSMUSG00000015749.12"	"Anp32e"	chr3	+	95937881	95938039	95937881	95938003	95944306	95944361
135	"ENSMUSG00000023452.18"	"Pisd"	chr5	-	32739136	32739373	32739183	32739373	32738781	32738920
136	"ENSMUSG00000038722.17"	"Bud31"	chr5	+	145141304	145141436	145141304	145141360	145142447	145142567
137	"ENSMUSG00000019951.10"	"Uhrf1bp1l"	chr10	+	89809627	89809778	89809627	89809763	89811486	89811740
138	"ENSMUSG00000040838.10"	"RP23-396N4.2"	chr11	+	104720267	104721551	104720267	104721395	104724470	104724608
139	"ENSMUSG00000038412.8"	"Higd1a"	chr9	-	121856437	121856585	121856449	121856585	121852490	121852609
140	"ENSMUSG00000013736.16"	"Trnt1"	chr6	+	106769165	106769256	106769165	106769191	106769829	106770003
141	"ENSMUSG00000037722.8"	"Gnpnat1"	chr14	-	45389050	45389109	45389063	45389109	45384580	45384748
142	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84370386	84370255	84370354	84370923	84371031
143	"ENSMUSG00000087211.7"	"Lhx1os"	chr11	+	84534479	84534660	84534479	84534560	84535115	84535221
144	"ENSMUSG00000002949.15"	"Timm44"	chr8	-	4265225	4266680	4266555	4266680	4261907	4261997
145	"ENSMUSG00000030619.9"	"Eed"	chr7	-	89956254	89956413	89956343	89956413	89955530	89955604
146	"ENSMUSG00000047767.17"	"Atg16l2"	chr7	-	101291714	101291999	101291878	101291999	101291486	101291592
147	"ENSMUSG00000039804.15"	"Ncoa5"	chr2	-	165004088	165004296	165004096	165004296	165002638	165002959
148	"ENSMUSG00000037470.14"	"Uggt1"	chr1	-	36211389	36211486	36211396	36211486	36209985	36210064
149	"ENSMUSG00000020218.11"	"Wif1"	chr10	+	121095998	121096094	121095998	121096052	121096640	121096736
150	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111182818	111182896	111182818	111182887	111188761	111188806
151	"ENSMUSG00000032497.16"	"Lrrfip2"	chr9	+	111214140	111214273	111214140	111214265	111215928	111215978
152	"ENSMUSG00000059626.13"	"Rhox3e"	chrX	+	37547405	37547775	37547405	37547594	37550846	37551082
153	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70023606	70023697	70023610	70023697	70022619	70022669
154	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70023606	70023697	70023613	70023697	70022619	70022669
155	"ENSMUSG00000031858.16"	"Mau2"	chr8	-	70023610	70023697	70023613	70023697	70022619	70022669
156	"ENSMUSG00000024073.14"	"Birc6"	chr17	+	74605988	74606135	74605988	74606123	74608096	74608284
157	"ENSMUSG00000024073.14"	"Birc6"	chr17	+	74615219	74615357	74615219	74615330	74618435	74618563
158	"ENSMUSG00000025885.18"	"Myo5b"	chr18	+	74714825	74714974	74714825	74714959	74715958	74716078
159	"ENSMUSG00000026956.15"	"Uap1l1"	chr2	-	25363243	25363384	25363311	25363384	25362662	25362848
160	"ENSMUSG00000052099.14"	"Prss51"	chr14	+	64094929	64095027	64094929	64095010	64095909	64096169
161	"ENSMUSG00000052099.14"	"Prss51"	chr14	+	64094929	64095122	64094929	64095010	64095909	64096169
162	"ENSMUSG00000052099.14"	"Prss51"	chr14	+	64094929	64095122	64094929	64095027	64095909	64096169
163	"ENSMUSG00000005672.12"	"Kit"	chr5	+	75638964	75639158	75638964	75639146	75640492	75640599
164	"ENSMUSG00000038429.10"	"Usp5"	chr6	-	124818474	124818666	124818543	124818666	124817887	124818031
165	"ENSMUSG00000096840.3"	"Olfr136"	chr17	+	38331639	38331813	38331639	38331709	38332733	38332826
166	"ENSMUSG00000023930.13"	"Crisp2"	chr17	-	40791858	40791908	40791876	40791908	40790586	40790664
167	"ENSMUSG00000004654.6"	"Ghrhr"	chr6	+	55384731	55384834	55384731	55384823	55385393	55385523
168	"ENSMUSG00000040225.15"	"Prrc2c"	chr1	-	162679484	162679607	162679499	162679607	162678009	162678228
169	"ENSMUSG00000040225.15"	"Prrc2c"	chr1	-	162721429	162721539	162721444	162721539	162720480	162720606
170	"ENSMUSG00000006315.9"	"Tmem147"	chr7	-	30728431	30728568	30728498	30728568	30728204	30728289
171	"ENSMUSG00000026439.14"	"Rbbp5"	chr1	+	132484745	132484918	132484745	132484801	132489587	132489728
172	"ENSMUSG00000091712.2"	"Sec14l5"	chr16	+	5147108	5147195	5147108	5147129	5147744	5147848
173	"ENSMUSG00000058298.8"	"Mcm9"	chr10	-	53547402	53547606	53547514	53547606	53541536	53541619
174	"ENSMUSG00000055013.15"	"Agap1"	chr1	+	89609495	89609599	89609495	89609583	89627760	89627846
175	"ENSMUSG00000039660.16"	"D2Wsu81e"	chr2	-	30176727	30176828	30176738	30176828	30176614	30176664
176	"ENSMUSG00000028439.14"	"Fam219a"	chr4	-	41569176	41569537	41569209	41569537	41524365	41524414
177	"ENSMUSG00000023088.17"	"Abcc1"	chr16	+	14437645	14437737	14437645	14437733	14439986	14440059
178	"ENSMUSG00000023088.17"	"Abcc1"	chr16	+	14448399	14448592	14448399	14448583	14457887	14457969
179	"ENSMUSG00000021476.9"	"Habp4"	chr13	+	64174789	64174858	64174789	64174845	64176004	64176088
180	"ENSMUSG00000029263.15"	"Pigg"	chr5	+	108331974	108332192	108331974	108332168	108332683	108332965
181	"ENSMUSG00000022199.11"	"Slc22a17"	chr14	-	54907831	54908103	54907885	54908103	54907518	54907630
182	"ENSMUSG00000035674.13"	"Ndufa3"	chr7	+	3617616	3618140	3617616	3617691	3619429	3619507
183	"ENSMUSG00000003184.15"	"Irf3"	chr7	+	45000371	45001022	45000371	45000546	45001672	45001788
184	"ENSMUSG00000026860.16"	"Sh3glb2"	chr2	-	30355235	30355402	30355260	30355402	30354852	30354981
185	"ENSMUSG00000058586.11"	"Serhl"	chr15	+	83100293	83101793	83100293	83100347	83101871	83101985
186	"ENSMUSG00000058586.11"	"Serhl"	chr15	+	83102624	83102684	83102624	83102644	83102933	83103008
187	"ENSMUSG00000023079.14"	"Gtf2ird1"	chr5	-	134388426	134388523	134388433	134388523	134385789	134385837
188	"ENSMUSG00000033287.16"	"Kctd17"	chr15	+	78436900	78436994	78436900	78436963	78437583	78437671
189	"ENSMUSG00000035601.9"	"Trmt10b"	chr4	+	45301235	45301350	45301235	45301344	45304263	45304388
190	"ENSMUSG00000032086.12"	"Bace1"	chr9	+	45854626	45854843	45854626	45854655	45856087	45856225
191	"ENSMUSG00000002307.15"	"Daxx"	chr17	+	33912587	33912807	33912587	33912693	33913272	33913726
192	"ENSMUSG00000033228.8"	"Scaf11"	chr15	-	96415728	96415947	96415776	96415947	96415031	96415151
193	"ENSMUSG00000021555.15"	"Naa35"	chr13	+	59600903	59601071	59600903	59601044	59607245	59607312
194	"ENSMUSG00000044034.11"	"Npb"	chr11	+	120608476	120608739	120608476	120608727	120608814	120609093
195	"ENSMUSG00000025877.14"	"Hk3"	chr13	-	55014426	55014546	55014482	55014546	55014231	55014327
196	"ENSMUSG00000028101.18"	"Pias3"	chr3	+	96703525	96703659	96703525	96703628	96703738	96703907
197	"ENSMUSG00000017760.15"	"Ctsa"	chr2	+	164834697	164834762	164834697	164834748	164834837	164834924
198	"ENSMUSG00000021950.15"	"Anxa8"	chr14	+	34094397	34094491	34094397	34094413	34094722	34094818
199	"ENSMUSG00000015095.12"	"Fbxw5"	chr2	+	25503436	25503866	25503436	25503641	25504179	25504327
200	"ENSMUSG00000084786.9"	"Ubl5"	chr9	+	20645405	20645493	20645405	20645489	20645621	20645659
201	"ENSMUSG00000049676.14"	"Catsperg1"	chr7	-	29184678	29185090	29184963	29185090	29182236	29182329
202	"ENSMUSG00000049676.14"	"Catsperg1"	chr7	-	29210641	29210925	29210746	29210925	29210479	29210533
203	"ENSMUSG00000038791.14"	"Scgb3a2"	chr18	+	43766703	43766966	43766703	43766900	43767230	43767399
204	"ENSMUSG00000027071.14"	"P2rx3"	chr2	-	85024109	85024173	85024115	85024173	85023482	85023576
205	"ENSMUSG00000107563.2"	"RP24-75K10.1"	chr6	+	102266855	102266928	102266855	102266922	102269934	102270027
206	"ENSMUSG00000023918.12"	"Adgrf4"	chr17	-	42692065	42692284	42692139	42692284	42676654	42676764
207	"ENSMUSG00000022864.13"	"RP23-122F3.1"	chr16	-	78576190	78576657	78576390	78576657	78575920	78576054
208	"ENSMUSG00000022864.13"	"RP23-122F3.1"	chr16	-	78576190	78576657	78576423	78576657	78575920	78576054
209	"ENSMUSG00000022864.13"	"RP23-122F3.1"	chr16	-	78576390	78576657	78576423	78576657	78575920	78576054
210	"ENSMUSG00000030960.16"	"Mettl10"	chr7	-	132850590	132850709	132850594	132850709	132837099	132837207
211	"ENSMUSG00000068917.12"	"Clk2"	chr3	+	89164818	89165106	89164818	89164891	89167034	89167204
212	"ENSMUSG00000032462.14"	"Pik3cb"	chr9	-	99065559	99065610	99065563	99065610	99064019	99064208
213	"ENSMUSG00000029439.14"	"Sfswap"	chr5	+	129503982	129504152	129503982	129504105	129504762	129504894
214	"ENSMUSG00000029439.14"	"Sfswap"	chr5	+	129516015	129516151	129516015	129516132	129539574	129539815
215	"ENSMUSG00000029439.14"	"Sfswap"	chr5	+	129543213	129543379	129543213	129543295	129549453	129549684
216	"ENSMUSG00000029703.10"	"Lrwd1"	chr5	-	136133933	136134050	136133966	136134050	136133304	136133445
217	"ENSMUSG00000109378.1"	"RP24-471H15.8"	chr7	+	30564202	30564394	30564202	30564301	30564473	30564607
218	"ENSMUSG00000109378.1"	"RP24-471H15.8"	chr7	+	30564202	30564394	30564202	30564301	30565094	30566381
219	"ENSMUSG00000020594.14"	"Pum2"	chr12	+	8744614	8744749	8744614	8744743	8747156	8747294
220	"ENSMUSG00000040599.13"	"Mis12"	chr11	+	71019610	71020189	71019610	71019723	71024549	71024711
221	"ENSMUSG00000035640.18"	"Cbarp"	chr10	-	80136662	80136743	80136689	80136743	80136349	80136494
222	"ENSMUSG00000035640.18"	"Cbarp"	chr10	-	80136662	80136743	80136704	80136743	80136349	80136494
223	"ENSMUSG00000035640.18"	"Cbarp"	chr10	-	80136689	80136743	80136704	80136743	80136349	80136494
224	"ENSMUSG00000048537.16"	"Phldb1"	chr9	-	44697718	44697842	44697751	44697842	44696036	44696183
225	"ENSMUSG00000049659.15"	"Aftph"	chr11	-	20696750	20698373	20698312	20698373	20692464	20692588
226	"ENSMUSG00000000248.16"	"Clec2g"	chr6	+	128971159	128971306	128971159	128971194	128979395	128979478
227	"ENSMUSG00000003746.16"	"Man1a"	chr10	-	54075503	54075709	54075525	54075709	54074415	54075270
228	"ENSMUSG00000037846.18"	"Rtkn2"	chr10	+	67987306	67987512	67987306	67987503	67997564	67997623
229	"ENSMUSG00000024911.6"	"Fibp"	chr19	+	5463170	5463325	5463170	5463304	5463603	5463712
230	"ENSMUSG00000027381.16"	"Bcl2l11"	chr2	+	128128619	128129014	128128619	128128756	128147084	128147194
231	"ENSMUSG00000028463.14"	"Car9"	chr4	+	43510196	43510263	43510196	43510259	43512411	43512438
232	"ENSMUSG00000022561.13"	"Gpaa1"	chr15	+	76332159	76332287	76332159	76332271	76332483	76332631
233	"ENSMUSG00000027222.14"	"Pex16"	chr2	+	92378592	92378715	92378592	92378673	92378795	92378948
234	"ENSMUSG00000041609.16"	"Bicdl1"	chr5	-	115652626	115652986	115652924	115652986	115651818	115651939
235	"ENSMUSG00000115529.1"	"RP23-47H16.3"	chr14	-	84475888	84476039	84476008	84476039	84472212	84472242
236	"ENSMUSG00000038608.15"	"Dock10"	chr1	-	80586648	80586870	80586719	80586870	80586328	80586451
237	"ENSMUSG00000004788.11"	"Eif2b2"	chr12	+	85219821	85219942	85219821	85219933	85220096	85220245
238	"ENSMUSG00000030206.13"	"Gsg1"	chr6	-	135242050	135242221	135242173	135242221	135241244	135241397
239	"ENSMUSG00000057594.12"	"Arl16"	chr11	-	120467009	120467240	120467181	120467240	120466653	120466767
240	"ENSMUSG00000037225.13"	"Fgf2"	chr3	+	37380754	37380999	37380754	37380990	37396184	37396288
241	"ENSMUSG00000055602.16"	"Tcp10b"	chr17	+	13061845	13062060	13061845	13061972	13062288	13062440
242	"ENSMUSG00000049076.10"	"Acap2"	chr16	-	31153691	31153759	31153705	31153759	31141738	31141797
243	"ENSMUSG00000028651.12"	"Ppie"	chr4	-	123136800	123136898	123136871	123136898	123135595	123135677
244	"ENSMUSG00000022510.14"	"Trp63"	chr16	+	25866074	25866211	25866074	25866199	25868166	25868249
245	"ENSMUSG00000059327.9"	"Eda"	chrX	+	100395674	100395830	100395674	100395813	100396904	100400760
